usage_id,customer_id,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations
70035,10035,101,22,98,36.4,-12.2,7,89.5,3
70036,10036,51,17,71,40.0,-38.8,0,63.2,0
70037,10037,24,8,31,64.4,-23.8,37,100.0,3
70038,10038,5,2,5,44.2,-0.1,47,87.1,0
70039,10039,24,10,20,48.6,-12.1,8,78.9,2
70040,10040,54,18,40,17.3,17.9,47,63.4,3
70041,10041,9,4,13,44.8,-12.1,9,83.6,0
70042,10042,24,6,25,96.4,-17.9,45,74.6,3
70043,10043,83,17,106,64.1,15.2,21,89.3,0
70044,10044,76,18,108,46.7,2.4,19,77.4,0
70045,10045,40,15,52,74.1,-8.5,48,58.4,4
70046,10046,25,9,27,23.5,-46.0,8,49.0,2
70047,10047,48,12,48,25.1,-11.2,31,80.9,4
70048,10048,83,21,116,56.1,15.4,17,84.0,0
70049,10049,68,15,65,84.9,-18.3,0,62.5,0
70050,10050,73,14,70,53.2,10.2,13,63.1,2
70051,10051,111,46,145,54.8,20.9,30,48.1,3
70052,10052,64,24,75,76.4,-32.7,14,63.6,4
70053,10053,44,10,46,82.6,-4.0,0,83.2,2
70054,10054,57,29,60,69.0,-10.3,29,56.4,7
70055,10055,47,19,55,49.3,-15.0,60,63.0,1
70056,10056,87,36,91,83.7,-7.2,0,70.6,3
70057,10057,49,21,47,68.6,31.2,7,66.2,2
70058,10058,104,24,148,42.3,-25.8,19,90.2,4
70059,10059,32,14,35,97.5,-13.6,0,76.6,1
70060,10060,69,14,59,55.9,22.5,33,81.1,0
70061,10061,86,23,72,54.0,-15.6,15,82.7,5
70062,10062,29,8,27,54.2,4.2,31,57.8,6
70063,10063,40,13,60,74.9,1.4,32,86.3,2
70064,10064,56,23,81,48.2,48.3,14,90.1,3
70065,10065,26,12,20,63.4,38.1,46,73.6,3
70066,10066,43,19,33,61.3,16.4,15,65.5,1
70067,10067,26,5,26,66.0,2.4,53,68.8,2
70068,10068,175,44,194,49.8,-4.4,47,84.1,2
70069,10069,34,10,32,66.7,-35.7,0,100.0,4
70070,10070,40,25,49,90.1,23.4,12,38.9,0
70071,10071,143,27,149,69.4,6.4,33,95.7,1
70072,10072,27,6,31,63.9,36.4,19,77.7,2
70073,10073,25,11,23,53.8,45.1,23,100.0,3
70074,10074,116,37,88,31.6,11.8,20,80.8,5
70075,10075,97,24,122,86.5,-10.9,0,86.3,5
70076,10076,148,67,190,48.9,15.9,59,76.9,2
70077,10077,41,12,44,22.5,26.0,24,94.6,5
70078,10078,43,10,60,59.3,5.0,21,52.3,4
70079,10079,52,25,49,59.4,-27.7,23,88.4,1
70080,10080,7,3,9,38.0,-2.4,37,68.6,4
70081,10081,76,22,88,63.1,7.7,17,92.8,1
70082,10082,26,6,27,77.9,-20.5,15,80.2,1
70083,10083,49,13,43,64.5,14.6,0,100.0,4
70084,10084,12,5,15,57.5,-37.4,7,73.3,1
70085,10085,43,9,36,73.8,8.5,21,79.3,0
70086,10086,75,21,96,65.2,-12.3,20,100.0,1
70087,10087,49,25,43,56.7,-17.6,30,49.2,1
70088,10088,24,10,17,55.1,15.5,18,86.7,2
70089,10089,38,7,36,40.4,6.5,66,85.1,2
70090,10090,73,17,102,28.5,-53.1,40,91.6,3
70091,10091,17,6,12,68.4,-24.5,18,81.3,3
70092,10092,40,16,30,80.3,29.8,0,80.4,0
70093,10093,37,11,42,48.2,-51.9,23,86.1,3
70094,10094,17,8,12,58.5,18.9,34,78.5,3
70095,10095,70,29,85,60.8,-47.0,0,100.0,5
70096,10096,34,8,41,59.0,-35.1,32,99.4,2
70097,10097,123,25,108,81.8,-5.2,8,91.1,2
70098,10098,17,10,18,36.7,9.6,13,100.0,2
70099,10099,54,14,71,99.7,45.1,18,76.5,2
70100,10100,19,5,16,50.9,-13.2,19,83.6,4
70101,10101,6,2,7,74.1,0.9,14,88.1,4
70102,10102,139,30,146,57.1,7.6,37,92.0,2
70103,10103,59,17,60,62.0,-14.2,19,69.1,1
70104,10104,29,14,28,43.6,6.4,0,69.1,1
70105,10105,189,47,215,67.2,-8.8,29,70.2,1
70106,10106,35,9,32,73.7,20.0,34,57.7,3
70107,10107,66,12,80,63.6,20.2,46,96.0,1
70108,10108,69,29,55,30.2,2.9,11,87.5,5
70109,10109,39,10,54,47.7,-10.6,15,78.9,2
70110,10110,45,12,59,28.3,-19.1,18,76.2,2
70111,10111,28,10,29,46.1,26.8,17,100.0,4
70112,10112,87,19,73,38.2,18.8,28,69.3,2
70113,10113,27,9,27,85.4,7.0,37,52.0,3
70114,10114,62,15,77,76.5,4.2,0,97.1,3
70115,10115,46,15,46,100.0,21.5,7,78.1,2
70116,10116,107,23,82,81.3,-16.7,37,89.9,4
70117,10117,82,15,65,25.0,58.1,27,100.0,5
70118,10118,55,13,69,56.2,34.7,8,49.4,2
70119,10119,69,15,96,26.8,8.4,37,68.7,5
70120,10120,16,9,22,78.5,14.1,29,76.0,5
70121,10121,56,11,73,80.7,4.0,20,91.8,3
70122,10122,150,31,196,59.2,-21.9,0,100.0,0
70123,10123,29,14,43,57.2,0.5,37,95.9,3
70124,10124,60,15,49,71.6,7.9,0,40.0,0
70125,10125,25,5,28,83.5,-1.1,25,79.2,2
70126,10126,44,11,40,56.9,-20.0,8,44.7,1
70127,10127,55,11,49,30.2,3.4,62,100.0,3
70128,10128,61,14,63,27.2,-41.2,13,81.8,0
70129,10129,52,16,50,37.9,-0.4,0,99.2,0
70130,10130,69,13,84,66.2,37.4,19,51.7,5
70131,10131,114,22,118,81.2,8.2,41,100.0,1
70132,10132,12,7,11,74.7,-11.5,43,100.0,1
70133,10133,15,7,12,63.1,8.9,11,76.0,3
70134,10134,34,9,32,68.3,-20.9,35,71.2,2
70135,10135,131,33,142,42.0,-18.3,28,50.3,4
70136,10136,82,16,97,47.2,-38.4,0,93.3,1
70137,10137,15,7,18,50.9,-15.7,4,87.9,3
70138,10138,24,8,21,18.0,2.7,0,69.0,4
70139,10139,97,18,100,59.0,-4.3,29,91.4,1
70140,10140,59,12,60,62.9,13.0,6,83.1,2
70141,10141,329,64,234,46.0,-14.5,22,48.3,2
70142,10142,28,17,39,68.4,-2.4,40,84.8,3
70143,10143,21,9,26,52.8,-10.4,36,78.0,3
70144,10144,30,9,37,34.6,-16.9,33,86.5,4
70145,10145,60,12,70,59.5,-18.1,28,70.1,1
70146,10146,56,17,60,82.3,-23.4,36,80.3,1
70147,10147,21,10,18,36.5,24.9,8,61.8,4
70148,10148,142,36,144,52.4,-20.0,51,70.3,0
70149,10149,36,7,30,23.3,-2.8,36,96.0,2
70150,10150,19,11,26,51.6,-14.7,36,76.6,2
70151,10151,38,11,33,94.5,6.5,31,53.9,1
70152,10152,16,3,15,58.7,-8.3,14,89.3,3
70153,10153,22,12,16,38.3,66.9,30,100.0,3
70154,10154,31,10,31,43.6,-15.2,7,100.0,2
70155,10155,24,10,30,50.5,-5.9,0,46.5,1
70156,10156,20,10,17,35.8,-18.9,29,81.7,2
70157,10157,79,18,88,77.3,37.2,0,46.0,3
70158,10158,26,15,38,82.6,-40.8,22,48.2,2
70159,10159,62,12,65,49.3,2.8,12,91.4,1
70160,10160,143,27,191,55.5,11.5,25,59.4,2
70161,10161,73,19,98,85.7,6.1,0,66.9,2
70162,10162,80,20,98,58.0,25.6,25,92.4,2
70163,10163,46,9,46,98.0,21.0,47,85.7,1
70164,10164,114,30,149,69.2,-1.3,67,87.4,3
70165,10165,35,15,51,66.7,1.4,0,43.6,0
70166,10166,82,28,75,73.0,-4.7,10,75.4,0
70167,10167,73,21,80,57.5,-13.1,45,74.5,2
70168,10168,74,17,87,48.8,16.1,25,91.5,0
70169,10169,7,2,8,49.9,-12.6,32,71.6,1
70170,10170,74,14,76,55.4,11.4,9,78.3,1
70171,10171,66,17,75,37.2,-4.2,40,51.9,3
70172,10172,48,13,36,53.2,-31.9,0,59.7,3
70173,10173,74,16,56,41.5,2.9,34,100.0,3
70174,10174,16,7,23,19.9,-1.5,61,66.4,3
70175,10175,35,10,40,87.5,-16.6,51,62.3,4
70176,10176,14,9,12,50.2,-6.2,63,78.5,1
70177,10177,56,17,51,55.1,-17.8,0,72.9,1
70178,10178,13,6,16,49.3,-14.0,11,67.4,1
70179,10179,160,34,201,72.9,-31.7,0,76.7,3
70180,10180,21,7,26,61.5,-15.4,21,52.2,3
70181,10181,20,6,18,69.2,12.0,5,78.2,3
70182,10182,18,11,25,70.8,5.9,20,78.6,3
70183,10183,51,31,38,45.2,27.1,4,79.5,4
70184,10184,79,31,82,51.0,14.4,3,94.8,3
70185,10185,52,12,68,49.5,-7.3,27,54.3,6
70186,10186,32,7,28,38.8,6.7,16,93.0,7
70187,10187,175,32,156,56.0,9.9,29,52.9,5
70188,10188,125,27,88,51.6,46.6,13,66.4,1
70189,10189,123,30,135,84.1,7.0,19,65.4,3
70190,10190,90,21,129,91.7,21.6,38,64.2,4
70191,10191,31,10,34,37.6,18.8,16,63.1,4
70192,10192,43,8,62,30.7,40.9,6,84.4,1
70193,10193,159,40,139,81.8,9.6,55,78.2,6
70194,10194,16,10,16,89.3,-36.9,14,77.9,1
70195,10195,14,5,21,43.7,0.6,0,96.6,4
70196,10196,23,11,31,48.1,2.1,16,73.3,2
70197,10197,17,7,20,46.0,1.1,0,80.2,1
70198,10198,184,49,142,67.1,24.6,0,87.8,3
70199,10199,59,18,47,78.4,-36.9,26,77.1,1
70200,10200,36,11,38,34.7,-11.5,46,48.8,3
70201,10201,16,5,22,46.3,49.1,0,80.8,3
70202,10202,28,12,36,42.1,-5.8,26,100.0,4
70203,10203,13,7,18,29.2,20.0,39,76.6,4
70204,10204,49,15,50,27.5,-34.4,0,77.1,1
70205,10205,46,18,53,85.6,-14.2,24,83.6,6
70206,10206,25,9,24,54.1,33.5,14,82.2,2
70207,10207,8,4,9,58.9,12.1,13,65.7,0
70208,10208,55,12,66,54.1,9.9,20,69.1,3
70209,10209,24,14,27,51.6,1.7,41,76.9,5
70210,10210,73,17,63,71.0,-0.6,0,87.4,2
70211,10211,113,28,110,82.0,15.7,0,71.2,3
70212,10212,40,24,48,52.9,-33.8,0,100.0,4
70213,10213,116,24,134,43.2,13.0,21,75.3,0
70214,10214,49,13,52,74.9,-23.2,10,46.7,2
70215,10215,136,31,102,80.5,2.7,50,99.4,6
70216,10216,35,9,37,35.8,-9.3,0,29.1,3
70217,10217,57,23,66,75.2,-2.3,33,65.0,1
70218,10218,98,36,86,94.9,7.3,2,78.6,1
70219,10219,110,20,78,58.1,-12.6,28,100.0,3
70220,10220,128,27,142,73.1,13.9,36,100.0,2
70221,10221,58,12,58,56.3,-26.6,7,70.0,2
70222,10222,38,15,48,68.1,6.9,7,53.6,2
70223,10223,46,10,37,83.2,15.2,18,86.6,1
70224,10224,37,13,42,62.4,18.7,48,62.8,1
70225,10225,25,9,35,59.4,-1.0,37,96.6,4
70226,10226,17,6,24,61.4,22.4,17,82.4,3
70227,10227,60,31,84,65.2,-0.1,8,67.0,2
70228,10228,13,7,17,72.5,19.3,25,82.9,3
70229,10229,115,27,167,76.0,-22.3,5,66.2,2
70230,10230,35,10,52,46.8,-2.8,17,55.5,3
70231,10231,47,10,44,59.3,-5.7,18,42.3,2
70232,10232,46,10,50,60.4,-7.0,38,91.0,4
70233,10233,109,38,138,59.4,-24.0,24,86.3,1
70234,10234,33,16,37,43.0,-13.5,5,63.6,3
70235,10235,21,8,30,62.1,-27.1,0,87.9,1
70236,10236,125,34,185,71.9,3.5,0,94.6,0
70237,10237,85,18,93,76.4,59.1,22,56.7,1
70238,10238,82,25,79,48.5,-26.4,33,85.7,2
70239,10239,31,8,32,69.6,19.4,26,56.7,2
70240,10240,52,14,65,85.5,-23.4,3,96.6,3
70241,10241,47,20,60,39.9,16.2,10,99.8,4
70242,10242,101,31,101,27.4,4.3,10,67.6,0
70243,10243,141,34,194,44.5,-0.2,2,37.2,2
70244,10244,20,12,16,71.4,-12.0,13,80.7,6
70245,10245,62,16,45,56.0,29.3,18,86.6,2
70246,10246,10,2,15,51.8,40.4,24,77.3,6
70247,10247,108,21,155,36.0,3.4,13,61.2,2
70248,10248,34,7,32,90.1,29.1,26,100.0,3
70249,10249,29,12,42,68.2,3.1,27,75.5,2
70250,10250,84,17,80,38.9,10.1,26,92.4,5
70251,10251,25,13,27,95.8,-28.4,10,95.4,5
70252,10252,31,11,35,53.8,-10.5,5,66.9,2
70253,10253,83,27,101,67.4,13.3,25,100.0,3
70254,10254,42,18,47,64.6,40.3,12,42.2,3
70255,10255,65,13,93,84.9,-7.2,14,65.0,4
70256,10256,151,34,173,82.9,21.9,40,59.5,1
70257,10257,113,26,82,78.0,-2.9,7,77.2,3
70258,10258,26,5,22,82.0,-3.1,25,100.0,3
70259,10259,41,9,60,48.4,-26.5,7,91.9,4
70260,10260,32,10,24,49.2,42.2,0,15.1,0
70261,10261,30,15,39,51.5,26.3,17,100.0,3
70262,10262,34,7,50,51.6,-9.0,1,90.8,2
70263,10263,30,7,22,64.0,9.4,22,93.8,1
70264,10264,55,14,76,57.2,-10.6,20,68.8,5
70265,10265,40,9,51,48.4,10.5,29,75.8,6
70266,10266,122,27,89,61.2,3.8,45,57.3,3
70267,10267,89,20,105,49.8,-32.6,34,52.5,1
70268,10268,80,24,115,63.0,25.6,2,37.3,6
70269,10269,40,11,42,89.9,-1.0,23,100.0,0
70270,10270,71,15,92,82.1,18.0,0,74.5,2
70271,10271,99,19,95,63.5,-4.5,0,100.0,3
70272,10272,46,13,47,95.6,-8.1,27,80.2,1
70273,10273,60,14,75,82.7,-22.8,26,97.3,2
70274,10274,42,12,30,83.5,23.7,22,86.0,2
70275,10275,44,14,57,71.8,13.2,16,77.4,4
70276,10276,97,21,88,80.0,-15.0,8,100.0,3
70277,10277,40,19,55,40.1,6.4,27,77.5,3
70278,10278,43,13,49,51.8,5.5,0,86.8,2
70279,10279,89,23,83,44.9,12.0,6,84.6,4
70280,10280,74,17,92,80.8,28.0,15,72.6,2
70281,10281,96,19,137,23.6,-16.9,21,66.4,6
70282,10282,21,10,23,66.8,17.7,21,77.3,4
70283,10283,25,8,35,85.3,18.2,0,66.2,1
70284,10284,22,9,32,85.7,7.5,33,100.0,2
70285,10285,37,10,37,63.6,-19.6,55,80.4,0
70286,10286,14,6,19,68.6,1.6,11,72.9,0
70287,10287,12,5,16,72.7,-44.6,5,100.0,1
70288,10288,24,12,27,77.6,-6.5,38,63.0,3
70289,10289,23,6,17,36.6,-20.9,29,70.8,0
70290,10290,33,7,44,69.3,19.3,14,100.0,3
70291,10291,24,12,18,28.4,7.9,30,100.0,3
70292,10292,51,11,75,88.2,-21.3,0,66.3,2
70293,10293,102,19,109,5.0,41.0,22,53.2,2
70294,10294,65,19,47,71.6,34.1,29,100.0,1
70295,10295,18,5,16,46.4,7.7,0,47.4,1
70296,10296,64,14,57,33.2,-29.5,0,96.5,3
70297,10297,72,16,100,65.7,9.9,0,99.2,1
70298,10298,52,27,39,51.8,1.5,38,70.0,4
70299,10299,39,8,33,57.8,32.1,31,92.3,3
70300,10300,46,24,46,43.8,-28.5,32,70.8,1
70301,10301,34,9,29,5.0,-7.4,34,97.4,3
70302,10302,11,3,9,43.4,26.9,0,92.8,2
70303,10303,72,15,63,60.8,16.3,30,84.5,4
70304,10304,14,7,11,58.5,-11.8,26,76.4,5
70305,10305,167,41,200,63.4,18.1,8,72.8,3
70306,10306,132,26,100,71.3,-6.1,41,96.1,2
70307,10307,45,12,44,90.5,-16.6,31,80.0,2
70308,10308,30,6,37,42.3,18.8,16,85.7,2
70309,10309,161,32,153,84.1,18.7,0,83.1,1
70310,10310,13,5,13,47.6,-6.6,0,68.0,0
70311,10311,70,14,92,91.4,-18.9,3,75.0,5
70312,10312,55,13,73,55.6,-11.4,11,70.3,2
70313,10313,59,12,76,47.9,5.4,17,64.4,4
70314,10314,66,26,64,84.9,-32.4,32,69.7,3
70315,10315,30,10,34,56.2,12.0,2,69.9,2
70316,10316,78,20,109,16.0,1.8,0,80.3,4
70317,10317,63,14,66,71.9,1.7,20,62.1,2
70318,10318,81,15,74,64.1,14.5,33,83.0,3
70319,10319,16,9,12,37.8,-30.0,2,78.5,5
70320,10320,37,10,43,83.9,-12.5,20,60.8,2
70321,10321,26,7,23,43.2,5.5,34,33.9,2
70322,10322,72,14,92,72.8,4.7,0,64.3,2
70323,10323,20,8,15,73.7,1.4,23,81.9,1
70324,10324,32,15,33,100.0,1.6,0,98.4,0
70325,10325,93,27,90,62.9,-21.9,18,70.8,3
70326,10326,66,15,61,39.8,18.2,0,100.0,2
70327,10327,54,10,81,60.9,-8.2,0,41.1,3
70328,10328,49,13,38,98.6,-6.2,10,100.0,1
70329,10329,141,32,99,95.5,-2.4,46,77.7,3
70330,10330,24,9,17,41.2,-27.5,7,62.5,5
70331,10331,63,15,49,19.7,30.2,3,96.7,7
70332,10332,17,7,23,59.8,-21.4,0,32.9,1
70333,10333,31,9,26,46.1,3.5,40,89.4,6
70334,10334,24,14,28,60.0,-29.2,26,69.0,1
70335,10335,22,8,27,51.2,-20.2,0,100.0,2
70336,10336,65,14,85,83.4,22.8,8,89.7,5
70337,10337,37,21,30,81.9,-16.5,0,100.0,3
70338,10338,103,37,83,100.0,1.1,46,63.1,3
70339,10339,31,14,29,51.6,5.0,18,82.0,4
70340,10340,76,19,59,39.9,25.3,14,100.0,1
70341,10341,98,22,90,80.0,-1.7,40,84.7,3
70342,10342,23,12,27,57.9,-21.1,26,99.3,1
70343,10343,36,10,38,84.5,-48.3,29,65.8,2
70344,10344,63,15,59,67.6,-45.2,14,85.1,0
70345,10345,87,16,84,77.2,29.1,19,74.5,10
70346,10346,55,23,49,62.9,8.1,21,80.1,1
70347,10347,31,17,33,50.8,40.6,15,62.1,3
70348,10348,48,19,51,99.6,9.9,48,43.9,3
70349,10349,22,6,31,69.4,3.4,27,30.8,2
70350,10350,65,16,80,53.4,-29.5,54,78.8,1
70351,10351,57,19,69,33.2,-15.8,43,55.9,2
70352,10352,32,10,29,61.1,31.5,0,64.3,1
70353,10353,63,17,61,43.0,12.0,0,64.8,1
70354,10354,8,4,11,52.0,-20.1,10,65.8,1
70355,10355,134,25,154,93.3,50.1,15,60.8,5
70356,10356,63,15,53,88.2,13.7,32,98.6,2
70357,10357,43,12,55,41.2,-4.2,10,84.8,2
70358,10358,80,18,60,42.8,15.7,5,100.0,3
70359,10359,40,21,57,79.5,-16.3,32,60.5,1
70360,10360,46,10,52,29.2,-10.9,30,40.8,1
70361,10361,61,27,91,74.0,31.1,49,58.4,2
70362,10362,51,28,47,45.0,-18.3,23,63.9,2
70363,10363,81,16,64,45.5,9.7,26,36.9,3
70364,10364,125,29,136,69.0,-15.5,35,100.0,1
70365,10365,91,55,104,48.3,-30.4,33,66.2,2
70366,10366,78,15,102,29.4,-24.9,56,71.3,3
70367,10367,264,48,312,70.9,13.3,0,59.5,4
70368,10368,79,20,81,42.6,19.7,58,73.1,4
70369,10369,25,12,21,39.8,22.8,0,66.0,1
70370,10370,21,6,30,71.2,26.8,35,68.7,3
70371,10371,59,14,56,40.4,-27.7,9,84.5,7
70372,10372,38,17,33,45.9,4.0,4,28.5,3
70373,10373,43,14,39,46.9,10.5,0,100.0,3
70374,10374,29,15,33,78.8,-34.8,35,72.7,2
70375,10375,23,6,16,63.5,13.3,15,71.9,5
70376,10376,6,2,8,58.4,26.8,4,84.4,1
70377,10377,47,16,63,59.0,35.5,26,100.0,1
70378,10378,13,4,18,43.5,-30.6,42,98.0,2
70379,10379,53,21,72,50.3,19.9,2,60.6,0
70380,10380,40,10,31,61.1,-37.6,12,59.3,1
70381,10381,46,11,52,31.9,-12.4,21,61.1,1
70382,10382,48,19,40,46.5,9.9,0,85.9,1
70383,10383,73,16,57,36.9,-3.4,14,56.6,5
70384,10384,38,22,27,100.0,-15.0,24,65.9,3
70385,10385,51,12,37,63.1,-11.0,17,97.0,5
70386,10386,42,13,41,93.0,7.2,33,82.1,5
70387,10387,28,7,20,55.2,-16.8,53,59.3,6
70388,10388,43,14,45,39.0,34.2,0,60.3,0
70389,10389,36,12,29,80.1,-11.0,17,91.6,1
70390,10390,60,29,82,54.0,24.0,32,71.2,4
70391,10391,65,15,65,55.2,-17.0,27,91.0,2
70392,10392,51,19,62,68.5,-1.4,20,70.9,1
70393,10393,81,25,87,68.7,1.4,7,69.0,4
70394,10394,159,35,169,83.5,5.5,32,80.7,4
70395,10395,36,15,39,63.8,14.2,4,100.0,1
70396,10396,53,16,49,61.0,-29.4,16,46.8,4
70397,10397,39,14,31,86.5,15.8,18,68.6,3
70398,10398,109,25,153,51.3,16.3,19,63.2,3
70399,10399,300,56,391,83.4,29.4,8,67.1,5
70400,10400,217,41,195,74.3,2.1,17,75.0,2
70401,10401,56,16,40,61.3,-14.0,1,61.8,2
70402,10402,76,35,85,61.0,-18.9,26,54.1,6
70403,10403,59,11,46,47.0,-3.0,22,84.1,1
70404,10404,101,20,128,71.1,-7.6,27,90.6,7
70405,10405,26,12,25,45.5,-27.4,10,70.3,3
70406,10406,70,27,82,83.4,-8.1,15,94.5,4
70407,10407,33,17,35,29.0,14.0,26,78.2,1
70408,10408,53,10,41,87.4,6.2,31,87.7,2
70409,10409,50,28,74,95.2,-2.2,42,79.0,3
70410,10410,12,4,8,89.6,-5.9,31,54.4,4
70411,10411,24,5,35,76.8,2.2,9,87.3,0
70412,10412,103,28,130,59.7,-33.5,16,83.3,1
70413,10413,189,53,215,50.3,-19.3,2,70.3,1
70414,10414,55,18,75,69.3,3.9,0,56.2,3
70415,10415,11,7,8,66.0,16.7,24,91.2,3
70416,10416,23,11,19,74.5,26.1,37,79.0,2
70417,10417,61,16,72,67.6,-5.3,15,88.8,6
70418,10418,52,11,59,48.0,31.4,1,68.5,5
70419,10419,94,23,107,76.7,15.0,0,100.0,1
70420,10420,50,11,69,56.8,7.6,15,65.3,2
70421,10421,33,14,41,77.8,6.8,21,69.7,1
70422,10422,45,12,44,92.2,-20.9,31,79.6,1
70423,10423,36,12,43,73.0,-63.8,28,76.8,5
70424,10424,48,17,60,53.5,16.6,24,63.1,4
70425,10425,35,11,30,66.2,-14.2,11,92.5,2
70426,10426,50,10,36,75.4,-52.2,44,100.0,3
70427,10427,151,30,167,40.1,21.8,19,86.1,2
70428,10428,158,34,196,61.0,50.0,3,62.3,0
70429,10429,33,11,46,52.8,-15.2,14,73.3,6
70430,10430,30,19,35,92.9,3.2,16,81.9,2
70431,10431,42,14,49,43.1,31.8,26,100.0,3
70432,10432,154,32,170,63.3,28.5,14,58.0,0
70433,10433,40,21,58,76.5,1.4,19,79.3,2
70434,10434,29,7,40,56.6,24.2,0,91.3,4
70435,10435,202,41,224,40.6,0.4,14,61.2,5
70436,10436,44,13,55,63.8,-38.9,13,86.3,2
70437,10437,23,14,28,73.4,48.9,44,100.0,4
70438,10438,39,11,35,92.2,1.6,13,100.0,1
70439,10439,30,7,27,64.8,-55.4,17,55.0,5
70440,10440,37,9,55,54.5,-0.1,0,61.1,3
70441,10441,50,14,68,58.7,48.3,38,91.5,0
70442,10442,133,34,172,74.6,15.3,0,87.1,2
70443,10443,57,22,82,76.9,7.8,0,100.0,4
70444,10444,45,19,58,78.1,49.6,36,60.5,2
70445,10445,161,32,216,52.7,-8.8,13,100.0,3
70446,10446,85,32,79,88.5,11.8,30,68.6,0
70447,10447,252,59,279,48.5,28.3,12,100.0,2
70448,10448,42,19,44,66.7,32.2,6,80.8,1
70449,10449,74,23,71,47.1,-23.2,13,85.9,2
70450,10450,27,13,35,39.8,4.4,0,98.0,1
70451,10451,88,33,94,74.4,21.7,16,97.8,2
70452,10452,27,12,39,83.4,48.6,26,82.1,2
70453,10453,43,8,44,24.4,-15.6,11,83.4,1
70454,10454,42,27,44,33.6,33.6,12,72.6,3
70455,10455,38,13,54,97.2,6.1,0,77.2,4
70456,10456,64,16,46,17.2,32.4,28,90.4,1
70457,10457,55,11,61,52.0,-16.4,35,100.0,3
70458,10458,49,9,44,100.0,-31.8,0,72.9,8
70459,10459,16,4,17,33.8,-29.8,26,94.2,1
70460,10460,26,5,32,71.9,7.1,20,69.1,2
70461,10461,37,7,44,68.7,0.7,13,84.8,3
70462,10462,66,18,64,63.1,8.3,0,96.0,2
70463,10463,18,9,17,49.1,-2.9,42,100.0,1
70464,10464,144,41,143,58.1,57.6,32,79.5,1
70465,10465,103,30,133,70.0,39.2,7,75.6,5
70466,10466,26,7,27,76.7,4.3,23,76.0,2
70467,10467,17,6,14,52.0,-0.3,20,57.7,2
70468,10468,88,21,126,73.9,-29.4,17,89.7,4
70469,10469,47,14,46,58.9,-7.3,14,73.0,0
70470,10470,79,21,84,57.2,-8.1,0,97.4,2
70471,10471,43,16,48,67.3,-33.4,2,100.0,2
70472,10472,85,26,108,67.4,-5.4,47,96.5,2
70473,10473,39,9,36,95.0,6.6,11,59.6,3
70474,10474,23,12,30,33.8,28.1,0,81.5,2
70475,10475,33,7,23,84.1,38.5,10,67.3,1
70476,10476,51,16,66,90.8,-4.8,11,75.2,5
70477,10477,86,16,72,85.4,3.3,49,69.8,2
70478,10478,47,13,40,68.2,-21.4,24,56.9,2
70479,10479,81,47,92,34.0,4.9,41,79.7,1
70480,10480,43,12,41,37.0,18.9,0,100.0,2
70481,10481,58,16,47,36.1,-19.5,30,84.5,1
70482,10482,42,10,36,46.0,-36.0,29,100.0,1
70483,10483,32,15,46,81.7,-3.8,22,77.9,4
70484,10484,92,27,116,84.4,1.8,18,69.5,2
70485,10485,49,16,40,77.4,-32.4,65,100.0,1
70486,10486,155,30,208,86.5,23.3,32,100.0,4
