customer_id,company_size,industry,country,plan,contract_type,monthly_recurring_revenue,discount_percentage,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score,churn,churn_date,churn_reason
10097,Medium,Retail,USA,Professional,Monthly,384.62,16.30,123,25,108,81.80,-5.20,8,91.10,2,3,2,49.20,7.50,39,0,NULL,"Not Churned"
10098,Medium,Finance,UK,Professional,Quarterly,339.52,0.00,17,10,18,36.70,9.60,13,100.00,2,1,0,9.40,7.70,44,0,NULL,"Not Churned"
10099,Small,Retail,Canada,Starter,Annual,111.41,12.40,54,14,71,99.70,45.10,18,76.50,2,2,0,36.20,8.20,61,0,NULL,"Not Churned"
10100,Small,Technology,India,Business,Monthly,1007.69,1.90,19,5,16,50.90,-13.20,19,83.60,4,5,1,14.20,5.50,5,1,2027-01-26,"Contract Expired"
10101,Small,Media,USA,Business,Quarterly,1012.73,15.70,6,2,7,74.10,0.90,14,88.10,4,4,1,43.80,7.20,23,0,NULL,"Not Churned"
10102,Medium,Education,India,Professional,Quarterly,349.51,7.20,139,30,146,57.10,7.60,37,92.00,2,1,0,26.50,8.80,75,0,NULL,"Not Churned"
10103,Small,Retail,India,Professional,Monthly,347.83,10.70,59,17,60,62.00,-14.20,19,69.10,1,3,1,34.00,7.80,51,0,NULL,"Not Churned"
10104,Medium,Finance,UK,Professional,Quarterly,352.84,5.60,29,14,28,43.60,6.40,0,69.10,1,3,0,2.00,8.10,44,0,NULL,"Not Churned"
10105,Enterprise,Education,Germany,Professional,Monthly,354.02,22.70,189,47,215,67.20,-8.80,29,70.20,1,2,0,3.10,8.80,79,0,NULL,"Not Churned"
10106,Small,"Professional Services",Germany,Starter,Annual,137.37,8.60,35,9,32,73.70,20.00,34,57.70,3,3,1,3.50,6.00,49,0,NULL,"Not Churned"
10107,Medium,Education,India,Starter,Monthly,120.09,4.00,66,12,80,63.60,20.20,46,96.00,1,0,0,26.40,8.70,67,1,2024-05-03,"Business Closure"
10108,Large,Retail,USA,Business,Annual,985.00,0.00,69,29,55,30.20,2.90,11,87.50,5,0,0,20.50,6.70,17,0,NULL,"Not Churned"
10109,Small,Media,UK,Professional,Annual,382.66,3.70,39,10,54,47.70,-10.60,15,78.90,2,5,2,5.80,5.30,12,0,NULL,"Not Churned"
10110,Small,Retail,India,Starter,Annual,142.55,2.80,45,12,59,28.30,-19.10,18,76.20,2,3,1,33.30,7.40,48,0,NULL,"Not Churned"
10111,Small,Healthcare,Australia,Professional,Monthly,380.13,10.00,28,10,29,46.10,26.80,17,100.00,4,3,2,37.20,5.40,-3,0,NULL,"Not Churned"
10112,Small,Healthcare,Australia,Professional,Monthly,347.99,8.10,87,19,73,38.20,18.80,28,69.30,2,0,0,34.40,7.40,39,0,NULL,"Not Churned"
10113,Enterprise,Education,Singapore,Business,Annual,995.60,0.00,27,9,27,85.40,7.00,37,52.00,3,1,0,28.10,8.30,37,0,NULL,"Not Churned"
10114,Large,Manufacturing,India,Business,Quarterly,790.86,7.20,62,15,77,76.50,4.20,0,97.10,3,2,1,14.70,4.90,7,0,NULL,"Not Churned"
10115,Medium,Media,India,Professional,Monthly,415.71,0.00,46,15,46,100.00,21.50,7,78.10,2,3,1,16.20,5.60,13,0,NULL,"Not Churned"
10116,Large,Manufacturing,Germany,Enterprise,Monthly,1903.44,15.90,107,23,82,81.30,-16.70,37,89.90,4,4,1,30.50,6.10,1,0,NULL,"Not Churned"
10117,Large,Healthcare,Canada,Business,Monthly,913.18,8.60,82,15,65,25.00,58.10,27,100.00,5,1,0,26.90,9.40,84,0,NULL,"Not Churned"
10118,Small,Finance,Germany,Business,Quarterly,727.93,0.70,55,13,69,56.20,34.70,8,49.40,2,1,0,39.50,7.20,21,0,NULL,"Not Churned"
10119,Large,Technology,India,Professional,Monthly,322.49,8.30,69,15,96,26.80,8.40,37,68.70,5,1,1,48.20,7.70,68,1,2026-04-11,"Contract Expired"
10120,Medium,Education,UK,Professional,Monthly,354.34,16.90,16,9,22,78.50,14.10,29,76.00,5,2,2,7.10,5.90,20,0,NULL,"Not Churned"
10121,Large,Technology,UK,Professional,Monthly,316.89,8.20,56,11,73,80.70,4.00,20,91.80,3,2,0,20.30,8.30,54,0,NULL,"Not Churned"
10122,Large,Healthcare,India,Professional,Annual,418.63,10.50,150,31,196,59.20,-21.90,0,100.00,0,4,0,31.80,7.50,38,0,NULL,"Not Churned"
10123,Small,Retail,UK,Business,Quarterly,952.47,16.00,29,14,43,57.20,0.50,37,95.90,3,5,2,45.70,4.90,-9,0,NULL,"Not Churned"
10124,Small,"Professional Services",UK,Starter,Monthly,137.74,5.90,60,15,49,71.60,7.90,0,40.00,0,2,0,37.30,8.10,53,1,2026-01-30,"Business Closure"
10125,Small,Education,India,Business,Monthly,1013.77,3.70,25,5,28,83.50,-1.10,25,79.20,2,4,1,13.60,6.90,32,1,2023-07-01,"Contract Expired"
10126,Medium,Healthcare,USA,Professional,Annual,380.16,3.90,44,11,40,56.90,-20.00,8,44.70,1,1,0,30.90,5.50,-5,0,NULL,"Not Churned"
10127,Large,Media,Canada,Starter,Monthly,113.20,15.80,55,11,49,30.20,3.40,62,100.00,3,4,2,18.90,5.50,15,1,2027-05-04,"Missing Features"
10128,Large,Finance,USA,Professional,Monthly,390.23,11.50,61,14,63,27.20,-41.20,13,81.80,0,3,1,31.20,6.20,22,0,NULL,"Not Churned"
10129,Small,"Professional Services",Germany,Starter,Quarterly,126.54,13.80,52,16,50,37.90,-0.40,0,99.20,0,1,0,9.50,9.70,97,0,NULL,"Not Churned"
10130,Medium,Education,USA,Starter,Monthly,113.23,1.10,69,13,84,66.20,37.40,19,51.70,5,0,0,16.60,8.70,63,0,NULL,"Not Churned"
10131,Medium,Education,USA,Business,Monthly,831.77,21.70,114,22,118,81.20,8.20,41,100.00,1,4,1,27.20,6.60,17,1,2024-07-15,"High Price"
10132,Small,Media,Singapore,Business,Annual,903.34,17.40,12,7,11,74.70,-11.50,43,100.00,1,1,1,23.60,8.50,84,0,NULL,"Not Churned"
10133,Small,Manufacturing,Singapore,Starter,Monthly,118.61,2.60,15,7,12,63.10,8.90,11,76.00,3,3,1,53.40,7.50,41,0,NULL,"Not Churned"
10134,Small,Retail,India,Enterprise,Monthly,2051.05,13.60,34,9,32,68.30,-20.90,35,71.20,2,1,0,34.80,8.30,59,1,2023-07-07,"Poor User Experience"
10135,Enterprise,Education,Australia,Starter,Monthly,120.06,3.50,131,33,142,42.00,-18.30,28,50.30,4,1,1,23.10,5.60,9,0,NULL,"Not Churned"
10136,Small,Retail,India,Professional,Monthly,326.12,0.00,82,16,97,47.20,-38.40,0,93.30,1,5,0,18.80,4.20,-17,1,2021-12-22,Competitor
10137,Medium,Healthcare,India,Starter,Annual,138.75,12.80,15,7,18,50.90,-15.70,4,87.90,3,4,1,7.20,4.80,13,1,2028-02-12,"Business Closure"
10138,Large,Finance,USA,Starter,Annual,131.15,11.60,24,8,21,18.00,2.70,0,69.00,4,2,1,2.00,8.90,72,1,2023-08-12,Competitor
10139,Medium,"Professional Services",USA,Starter,Quarterly,117.81,14.00,97,18,100,59.00,-4.30,29,91.40,1,3,0,40.90,8.00,53,1,2028-05-01,"Business Closure"
10140,Enterprise,"Professional Services",Germany,Business,Annual,1003.77,16.50,59,12,60,62.90,13.00,6,83.10,2,0,0,29.90,9.70,97,0,NULL,"Not Churned"
10141,Enterprise,Finance,Canada,Enterprise,Monthly,2169.49,15.70,329,64,234,46.00,-14.50,22,48.30,2,1,0,7.30,8.60,71,0,NULL,"Not Churned"
10142,Small,Education,Singapore,Business,Monthly,893.40,10.70,28,17,39,68.40,-2.40,40,84.80,3,3,2,11.00,6.20,3,0,NULL,"Not Churned"
10143,Medium,Education,Canada,Professional,Monthly,360.20,9.50,21,9,26,52.80,-10.40,36,78.00,3,2,1,7.30,6.80,41,1,2026-04-21,"Contract Expired"
10144,Small,Healthcare,USA,Business,Quarterly,758.77,19.20,30,9,37,34.60,-16.90,33,86.50,4,1,0,15.70,8.60,73,1,2027-11-13,"Business Closure"
10145,Small,Manufacturing,Canada,Professional,Monthly,349.41,7.60,60,12,70,59.50,-18.10,28,70.10,1,3,1,31.30,7.00,54,1,2027-10-19,"Contract Expired"
10146,Small,Manufacturing,Singapore,Professional,Annual,307.00,17.60,56,17,60,82.30,-23.40,36,80.30,1,2,0,28.90,9.40,86,0,NULL,"Not Churned"
10147,Medium,Manufacturing,Canada,Business,Monthly,773.24,0.00,21,10,18,36.50,24.90,8,61.80,4,1,0,39.40,8.60,58,0,NULL,"Not Churned"
10148,Medium,Retail,Australia,Enterprise,Monthly,2476.40,6.00,142,36,144,52.40,-20.00,51,70.30,0,2,0,2.30,6.60,10,0,NULL,"Not Churned"
10149,Small,Manufacturing,Singapore,Starter,Annual,114.71,9.70,36,7,30,23.30,-2.80,36,96.00,2,1,1,31.30,8.50,66,0,NULL,"Not Churned"
10150,Small,Finance,India,Professional,Monthly,308.40,14.40,19,11,26,51.60,-14.70,36,76.60,2,2,0,19.00,9.00,82,0,NULL,"Not Churned"
10151,Enterprise,"Professional Services",Canada,Professional,Annual,385.57,15.70,38,11,33,94.50,6.50,31,53.90,1,1,1,25.30,7.40,44,0,NULL,"Not Churned"
10152,Small,"Professional Services",Germany,Professional,Quarterly,395.79,17.40,16,3,15,58.70,-8.30,14,89.30,3,3,1,21.30,6.00,37,0,NULL,"Not Churned"
10153,Small,Retail,Singapore,Professional,Monthly,368.31,11.50,22,12,16,38.30,66.90,30,100.00,3,6,2,19.20,4.50,-19,1,2027-12-10,"Business Closure"
10154,Medium,Healthcare,India,Professional,Annual,409.66,9.00,31,10,31,43.60,-15.20,7,100.00,2,2,1,22.70,7.60,51,0,NULL,"Not Churned"
10155,Enterprise,Finance,UK,Starter,Annual,137.68,18.00,24,10,30,50.50,-5.90,0,46.50,1,1,0,44.90,7.80,26,0,NULL,"Not Churned"
10156,Small,"Professional Services",Canada,Professional,Monthly,365.21,11.00,20,10,17,35.80,-18.90,29,81.70,2,2,0,17.60,7.40,14,1,2026-03-17,"Poor User Experience"
10157,Medium,Finance,India,Professional,Monthly,387.78,18.90,79,18,88,77.30,37.20,0,46.00,3,1,0,17.70,8.90,79,0,NULL,"Not Churned"
10158,Large,"Professional Services",UK,Professional,Monthly,337.83,13.70,26,15,38,82.60,-40.80,22,48.20,2,2,1,56.60,7.10,63,0,NULL,"Not Churned"
10159,Small,Technology,USA,Business,Monthly,911.79,10.10,62,12,65,49.30,2.80,12,91.40,1,4,0,9.60,7.40,14,0,NULL,"Not Churned"
10160,Large,Healthcare,USA,Professional,Annual,417.17,16.40,143,27,191,55.50,11.50,25,59.40,2,0,0,36.40,7.30,47,1,2030-11-30,Competitor
10161,Medium,Healthcare,USA,Starter,Monthly,135.59,11.90,73,19,98,85.70,6.10,0,66.90,2,5,3,30.80,5.00,-5,0,NULL,"Not Churned"
10162,Medium,Media,UK,Starter,Monthly,117.73,11.80,80,20,98,58.00,25.60,25,92.40,2,0,0,46.40,8.60,54,0,NULL,"Not Churned"
10163,Medium,Technology,USA,Starter,Annual,141.16,4.20,46,9,46,98.00,21.00,47,85.70,1,2,1,11.80,6.00,24,0,NULL,"Not Churned"
10164,Medium,Retail,USA,Starter,Annual,136.66,8.70,114,30,149,69.20,-1.30,67,87.40,3,3,1,23.20,7.10,51,0,NULL,"Not Churned"
10165,Small,"Professional Services",USA,Professional,Monthly,302.06,6.60,35,15,51,66.70,1.40,0,43.60,0,5,1,16.50,6.10,22,0,NULL,"Not Churned"
