customer_id,company_size,industry,country,signup_date,subscription_id,plan,contract_type,monthly_recurring_revenue,discount_percentage,contract_start_date,contract_end_date,usage_id,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations,support_id,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score,status_id,churn,churn_date,churn_reason
10011,Small,Professional Services,India,2026-03-05,50011,Starter,Monthly,122.71,8.8,2026-03-05,2026-04-04,70011,30,9,31,79.3,40.8,23,71.6,4,90011,1,0,33.0,7.4,38,110011,0,,Not Churned
10012,Enterprise,Manufacturing,India,2026-09-11,50012,Business,Annual,783.37,16.7,2026-09-11,2027-09-06,70012,40,16,60,48.2,14.1,21,46.1,5,90012,3,0,5.5,9.1,83,110012,0,,Not Churned
10013,Large,Technology,Singapore,2025-09-10,50013,Starter,Annual,118.22,1.9,2025-09-10,2026-09-05,70013,41,9,46,47.5,-27.0,0,85.2,3,90013,3,0,24.6,6.0,22,110013,0,,Not Churned
10014,Small,Manufacturing,USA,2023-01-23,50014,Starter,Annual,108.88,17.2,2023-01-23,2024-01-18,70014,59,17,47,57.6,-2.2,27,48.1,2,90014,2,0,34.2,6.4,22,110014,0,,Not Churned
10015,Small,Technology,Germany,2023-10-14,50015,Starter,Quarterly,121.89,4.4,2023-10-14,2024-01-12,70015,112,21,86,26.9,9.2,13,91.8,1,90015,4,0,20.1,8.8,78,110015,0,,Not Churned
10016,Small,Finance,Germany,2021-04-25,50016,Starter,Annual,129.13,5.9,2021-04-25,2022-04-20,70016,80,15,69,64.3,-0.6,16,50.4,1,90016,2,0,45.9,6.9,20,110016,0,,Not Churned
10017,Small,Retail,UK,2024-05-30,50017,Starter,Annual,112.78,4.8,2024-05-30,2025-05-25,70017,90,18,127,56.9,9.6,5,91.4,1,90017,2,0,17.4,7.3,58,110017,0,,Not Churned
10018,Medium,Retail,Canada,2022-04-14,50018,Professional,Annual,413.11,1.5,2022-04-14,2023-04-09,70018,80,20,87,54.1,3.0,5,57.2,1,90018,2,1,20.9,7.1,24,110018,0,,Not Churned
10019,Medium,Media,India,2022-03-02,50019,Starter,Annual,129.17,20.1,2022-03-02,2023-02-25,70019,19,5,26,70.2,-2.1,28,77.9,5,90019,0,0,43.3,8.0,58,110019,0,,Not Churned
10020,Small,Technology,Canada,2025-04-25,50020,Professional,Annual,324.44,12.4,2025-04-25,2026-04-20,70020,31,13,38,28.9,-29.4,12,100.0,1,90020,1,0,12.3,7.7,19,110020,0,,Not Churned
10021,Medium,Finance,USA,2026-02-09,50021,Business,Monthly,772.18,4.2,2026-02-09,2026-03-11,70021,87,20,121,40.8,-1.4,48,95.4,2,90021,6,1,41.0,6.0,11,110021,1,2027-01-24,High Price
10022,Small,Manufacturing,Germany,2023-04-14,50022,Business,Annual,773.07,6.3,2023-04-14,2024-04-08,70022,57,11,64,68.6,6.2,32,95.7,3,90022,1,1,31.9,6.5,19,110022,0,,Not Churned
10023,Small,Retail,India,2026-07-22,50023,Professional,Monthly,416.8,20.1,2026-07-22,2026-08-21,70023,8,3,11,72.3,-21.8,9,36.9,0,90023,2,0,30.2,6.5,0,110023,1,2030-05-22,High Price
10024,Medium,Technology,Australia,2021-01-11,50024,Professional,Quarterly,326.49,8.3,2021-01-11,2021-04-11,70024,19,4,28,76.6,12.8,21,65.9,1,90024,2,1,22.0,9.1,76,110024,0,,Not Churned
10025,Medium,Media,India,2024-11-09,50025,Starter,Annual,109.07,15.3,2024-11-09,2025-11-04,70025,50,16,41,64.4,-9.6,58,60.0,2,90025,2,1,37.4,5.7,13,110025,1,2026-06-12,Competitor
10026,Large,Manufacturing,Germany,2026-09-21,50026,Business,Monthly,771.29,8.6,2026-09-21,2026-10-21,70026,106,20,159,25.6,14.5,23,62.5,0,90026,0,0,41.0,10.0,78,110026,1,2030-12-01,Competitor
10027,Small,Finance,USA,2025-09-22,50027,Professional,Monthly,339.68,15.7,2025-09-22,2025-10-22,70027,22,7,28,43.6,3.8,7,70.7,1,90027,2,1,10.5,8.0,39,110027,0,,Not Churned
10028,Medium,Healthcare,Canada,2023-08-31,50028,Professional,Annual,372.88,4.4,2023-08-31,2024-08-25,70028,50,11,58,76.2,-26.1,8,68.9,3,90028,3,1,6.8,6.4,13,110028,0,,Not Churned
10029,Medium,Finance,USA,2022-08-27,50029,Business,Annual,746.03,3.2,2022-08-27,2023-08-22,70029,100,21,149,80.3,17.7,0,72.9,1,90029,2,1,34.4,8.4,55,110029,0,,Not Churned
10030,Small,Professional Services,USA,2021-08-01,50030,Professional,Annual,317.03,9.4,2021-08-01,2022-07-27,70030,48,11,40,36.4,-16.9,4,81.0,4,90030,3,1,28.2,8.2,72,110030,0,,Not Churned
10031,Medium,Finance,Canada,2022-06-24,50031,Professional,Annual,417.12,15.0,2022-06-24,2023-06-19,70031,48,16,58,47.7,1.5,6,57.8,3,90031,1,0,36.8,9.8,83,110031,0,,Not Churned
10032,Small,Media,Singapore,2022-12-07,50032,Professional,Annual,373.18,6.9,2022-12-07,2023-12-02,70032,15,7,13,60.1,27.4,41,94.6,0,90032,1,0,32.3,8.0,46,110032,0,,Not Churned
10033,Small,Manufacturing,India,2025-10-25,50033,Professional,Annual,314.61,8.6,2025-10-25,2026-10-20,70033,49,26,54,84.1,-1.3,19,86.3,2,90033,1,1,48.5,8.6,76,110033,0,,Not Churned
10034,Enterprise,Media,Singapore,2025-08-12,50034,Business,Monthly,886.15,11.2,2025-08-12,2025-09-11,70034,34,18,25,64.1,-5.7,20,90.4,4,90034,3,0,39.3,5.0,0,110034,0,,Not Churned
10035,Enterprise,Manufacturing,UK,2024-03-04,50035,Professional,Monthly,327.01,6.2,2024-03-04,2024-04-03,70035,101,22,98,36.4,-12.2,7,89.5,3,90035,1,0,15.1,6.5,35,110035,1,2025-03-08,Contract Expired
10036,Large,Education,Germany,2022-05-13,50036,Starter,Monthly,142.89,5.2,2022-05-13,2022-06-12,70036,51,17,71,40.0,-38.8,0,63.2,0,90036,2,0,21.3,6.3,33,110036,0,,Not Churned
10037,Small,Education,USA,2023-02-21,50037,Professional,Monthly,345.13,11.3,2023-02-21,2023-03-23,70037,24,8,31,64.4,-23.8,37,100.0,3,90037,2,0,24.1,8.9,71,110037,0,,Not Churned
10038,Small,Manufacturing,USA,2026-03-25,50038,Enterprise,Annual,1979.63,19.2,2026-03-25,2027-03-20,70038,5,2,5,44.2,-0.1,47,87.1,0,90038,1,1,10.3,7.0,35,110038,0,,Not Churned
10039,Medium,Manufacturing,Germany,2021-05-06,50039,Starter,Quarterly,127.74,5.0,2021-05-06,2021-08-04,70039,24,10,20,48.6,-12.1,8,78.9,2,90039,2,0,44.2,6.3,12,110039,1,2023-12-18,Poor User Experience
10040,Medium,Healthcare,USA,2025-03-07,50040,Business,Annual,763.35,8.1,2025-03-07,2026-03-02,70040,54,18,40,17.3,17.9,47,63.4,3,90040,0,0,23.3,9.1,78,110040,0,,Not Churned
10041,Small,Healthcare,UK,2023-04-21,50041,Professional,Quarterly,360.96,13.2,2023-04-21,2023-07-20,70041,9,4,13,44.8,-12.1,9,83.6,0,90041,1,0,34.6,8.0,67,110041,0,,Not Churned
10042,Medium,Finance,India,2023-09-10,50042,Professional,Quarterly,401.9,11.5,2023-09-10,2023-12-09,70042,24,6,25,96.4,-17.9,45,74.6,3,90042,5,2,8.3,4.2,-29,110042,1,2026-05-21,Competitor
10043,Small,Media,India,2024-09-03,50043,Business,Monthly,825.35,19.8,2024-09-03,2024-10-03,70043,83,17,106,64.1,15.2,21,89.3,0,90043,3,1,16.2,6.6,8,110043,0,,Not Churned
10044,Enterprise,Professional Services,Canada,2021-01-12,50044,Business,Annual,864.55,9.9,2021-01-12,2022-01-07,70044,76,18,108,46.7,2.4,19,77.4,0,90044,4,1,31.1,6.6,29,110044,0,,Not Churned
10045,Small,Media,Canada,2025-02-09,50045,Business,Quarterly,754.73,0.5,2025-02-09,2025-05-10,70045,40,15,52,74.1,-8.5,48,58.4,4,90045,2,0,2.0,9.4,72,110045,0,,Not Churned
10046,Medium,Retail,UK,2024-08-10,50046,Starter,Monthly,129.15,1.8,2024-08-10,2024-09-09,70046,25,9,27,23.5,-46.0,8,49.0,2,90046,3,0,10.5,5.0,-17,110046,1,2024-12-31,Contract Expired
10047,Small,Media,India,2025-01-03,50047,Starter,Annual,106.71,19.0,2025-01-03,2025-12-29,70047,48,12,48,25.1,-11.2,31,80.9,4,90047,2,0,14.8,6.9,31,110047,0,,Not Churned
10048,Medium,Professional Services,USA,2026-01-05,50048,Professional,Monthly,337.55,1.5,2026-01-05,2026-02-04,70048,83,21,116,56.1,15.4,17,84.0,0,90048,3,0,7.0,6.3,23,110048,0,,Not Churned
10049,Medium,Healthcare,USA,2022-05-31,50049,Business,Monthly,972.75,9.0,2022-05-31,2022-06-30,70049,68,15,65,84.9,-18.3,0,62.5,0,90049,2,0,18.5,6.0,18,110049,0,,Not Churned
10050,Small,Finance,USA,2025-08-31,50050,Business,Quarterly,767.1,2.4,2025-08-31,2025-11-29,70050,73,14,70,53.2,10.2,13,63.1,2,90050,3,1,39.5,8.3,51,110050,0,,Not Churned
10051,Enterprise,Professional Services,Germany,2024-02-22,50051,Starter,Monthly,137.29,10.2,2024-02-22,2024-03-23,70051,111,46,145,54.8,20.9,30,48.1,3,90051,2,0,42.6,8.6,50,110051,0,,Not Churned
10052,Large,Media,Australia,2025-03-29,50052,Starter,Annual,128.48,11.9,2025-03-29,2026-03-24,70052,64,24,75,76.4,-32.7,14,63.6,4,90052,3,2,4.6,6.1,12,110052,0,,Not Churned
10053,Enterprise,Technology,India,2026-09-18,50053,Business,Quarterly,764.46,12.3,2026-09-18,2026-12-17,70053,44,10,46,82.6,-4.0,0,83.2,2,90053,7,4,2.0,2.9,-20,110053,0,,Not Churned
10054,Large,Education,Germany,2023-09-06,50054,Professional,Annual,318.14,9.2,2023-09-06,2024-08-31,70054,57,29,60,69.0,-10.3,29,56.4,7,90054,4,1,19.6,6.8,30,110054,0,,Not Churned
10055,Medium,Professional Services,USA,2026-06-30,50055,Professional,Monthly,378.74,0.4,2026-06-30,2026-07-30,70055,47,19,55,49.3,-15.0,60,63.0,1,90055,2,2,32.7,7.0,30,110055,1,2029-08-23,Low Product Usage
10056,Enterprise,Retail,Australia,2026-01-21,50056,Business,Annual,939.43,6.1,2026-01-21,2027-01-16,70056,87,36,91,83.7,-7.2,0,70.6,3,90056,2,1,15.8,7.0,35,110056,1,2026-06-28,Business Closure
10057,Small,Finance,India,2021-08-12,50057,Starter,Quarterly,129.54,5.7,2021-08-12,2021-11-10,70057,49,21,47,68.6,31.2,7,66.2,2,90057,0,0,14.7,9.7,79,110057,0,,Not Churned
10058,Small,Professional Services,Canada,2021-10-07,50058,Starter,Monthly,131.99,17.0,2021-10-07,2021-11-06,70058,104,24,148,42.3,-25.8,19,90.2,4,90058,2,1,30.6,6.2,32,110058,1,2025-04-19,Competitor
10059,Small,Manufacturing,India,2024-04-08,50059,Business,Monthly,830.07,5.9,2024-04-08,2024-05-08,70059,32,14,35,97.5,-13.6,0,76.6,1,90059,3,0,15.3,7.6,43,110059,0,,Not Churned
10060,Small,Media,USA,2025-12-25,50060,Starter,Monthly,102.06,0.0,2025-12-25,2026-01-24,70060,69,14,59,55.9,22.5,33,81.1,0,90060,0,0,8.3,9.8,87,110060,1,2029-08-12,Competitor
10061,Medium,Technology,India,2025-10-24,50061,Starter,Annual,124.21,16.0,2025-10-24,2026-10-19,70061,86,23,72,54.0,-15.6,15,82.7,5,90061,4,1,45.1,6.5,25,110061,0,,Not Churned
10062,Small,Education,India,2026-08-08,50062,Starter,Monthly,126.97,13.4,2026-08-08,2026-09-07,70062,29,8,27,54.2,4.2,31,57.8,6,90062,6,2,34.3,4.9,14,110062,1,2029-02-28,Business Closure
10063,Large,Technology,India,2021-09-05,50063,Professional,Quarterly,381.74,5.6,2021-09-05,2021-12-04,70063,40,13,60,74.9,1.4,32,86.3,2,90063,2,0,16.9,6.5,16,110063,0,,Not Churned
10064,Medium,Finance,India,2024-10-16,50064,Starter,Quarterly,111.72,1.2,2024-10-16,2025-01-14,70064,56,23,81,48.2,48.3,14,90.1,3,90064,3,0,3.2,6.5,26,110064,0,,Not Churned
10065,Small,Media,India,2024-10-04,50065,Business,Annual,773.14,6.8,2024-10-04,2025-09-29,70065,26,12,20,63.4,38.1,46,73.6,3,90065,2,0,21.5,8.8,67,110065,1,2026-11-07,Poor User Experience
10066,Medium,Healthcare,Canada,2021-02-14,50066,Enterprise,Annual,2509.34,10.0,2021-02-14,2022-02-09,70066,43,19,33,61.3,16.4,15,65.5,1,90066,0,0,37.3,8.3,86,110066,0,,Not Churned
10067,Small,Education,India,2026-09-17,50067,Starter,Annual,137.33,14.2,2026-09-17,2027-09-12,70067,26,5,26,66.0,2.4,53,68.8,2,90067,1,0,3.0,6.5,32,110067,0,,Not Churned
10068,Large,Media,UK,2022-02-20,50068,Business,Monthly,1016.31,22.4,2022-02-20,2022-03-22,70068,175,44,194,49.8,-4.4,47,84.1,2,90068,2,0,50.4,9.2,71,110068,0,,Not Churned
10069,Small,Technology,India,2024-06-29,50069,Starter,Quarterly,116.27,12.2,2024-06-29,2024-09-27,70069,34,10,32,66.7,-35.7,0,100.0,4,90069,2,0,26.2,7.7,56,110069,0,,Not Churned
10070,Enterprise,Healthcare,Singapore,2023-12-21,50070,Starter,Monthly,104.48,14.7,2023-12-21,2024-01-20,70070,40,25,49,90.1,23.4,12,38.9,0,90070,8,3,25.3,4.4,-16,110070,1,2027-12-08,Poor Support
10071,Large,Retail,Singapore,2024-02-17,50071,Professional,Annual,355.8,0.0,2024-02-17,2025-02-11,70071,143,27,149,69.4,6.4,33,95.7,1,90071,3,1,33.3,7.0,41,110071,0,,Not Churned
10072,Small,Finance,India,2021-03-28,50072,Enterprise,Annual,2239.4,2.3,2021-03-28,2022-03-23,70072,27,6,31,63.9,36.4,19,77.7,2,90072,3,2,38.6,5.8,16,110072,0,,Not Churned
10073,Small,Finance,UK,2021-08-16,50073,Enterprise,Monthly,1898.13,17.7,2021-08-16,2021-09-15,70073,25,11,23,53.8,45.1,23,100.0,3,90073,1,1,37.5,9.1,93,110073,0,,Not Churned
10074,Large,Education,India,2026-01-13,50074,Starter,Quarterly,126.15,0.8,2026-01-13,2026-04-13,70074,116,37,88,31.6,11.8,20,80.8,5,90074,2,1,22.3,7.7,71,110074,0,,Not Churned
10075,Large,Technology,Singapore,2022-09-15,50075,Starter,Monthly,112.95,4.7,2022-09-15,2022-10-15,70075,97,24,122,86.5,-10.9,0,86.3,5,90075,2,0,34.4,9.2,55,110075,0,,Not Churned
10076,Large,Retail,UK,2025-05-26,50076,Enterprise,Annual,1961.73,12.7,2025-05-26,2026-05-21,70076,148,67,190,48.9,15.9,59,76.9,2,90076,0,0,20.2,7.4,48,110076,0,,Not Churned
10077,Large,Manufacturing,India,2022-04-30,50077,Starter,Annual,127.41,12.6,2022-04-30,2023-04-25,70077,41,12,44,22.5,26.0,24,94.6,5,90077,1,0,19.3,10.0,78,110077,0,,Not Churned
10078,Small,Education,USA,2021-01-25,50078,Business,Monthly,806.5,3.6,2021-01-25,2021-02-24,70078,43,10,60,59.3,5.0,21,52.3,4,90078,1,0,31.5,6.7,28,110078,1,2024-05-31,Poor User Experience
10079,Medium,Media,India,2025-12-20,50079,Starter,Annual,125.59,20.9,2025-12-20,2026-12-15,70079,52,25,49,59.4,-27.7,23,88.4,1,90079,2,1,28.5,6.7,29,110079,0,,Not Churned
10080,Small,Manufacturing,USA,2024-05-10,50080,Professional,Annual,299.36,2.1,2024-05-10,2025-05-05,70080,7,3,9,38.0,-2.4,37,68.6,4,90080,5,0,2.0,7.1,51,110080,0,,Not Churned
10081,Large,Education,Canada,2024-06-02,50081,Professional,Monthly,342.36,12.1,2024-06-02,2024-07-02,70081,76,22,88,63.1,7.7,17,92.8,1,90081,2,0,31.7,7.5,54,110081,0,,Not Churned
10082,Medium,Technology,USA,2023-02-18,50082,Professional,Monthly,403.51,22.3,2023-02-18,2023-03-20,70082,26,6,27,77.9,-20.5,15,80.2,1,90082,5,3,35.0,5.6,4,110082,0,,Not Churned
10083,Small,Retail,USA,2023-07-20,50083,Business,Monthly,915.91,12.4,2023-07-20,2023-08-19,70083,49,13,43,64.5,14.6,0,100.0,4,90083,1,1,42.6,7.6,42,110083,0,,Not Churned
10084,Small,Technology,India,2025-05-22,50084,Starter,Monthly,138.44,0.0,2025-05-22,2025-06-21,70084,12,5,15,57.5,-37.4,7,73.3,1,90084,4,2,39.9,5.9,42,110084,0,,Not Churned
10085,Small,Finance,India,2025-05-02,50085,Professional,Monthly,388.21,16.6,2025-05-02,2025-06-01,70085,43,9,36,73.8,8.5,21,79.3,0,90085,5,2,28.3,6.2,10,110085,0,,Not Churned
10086,Small,Manufacturing,India,2023-01-23,50086,Professional,Quarterly,385.67,8.7,2023-01-23,2023-04-23,70086,75,21,96,65.2,-12.3,20,100.0,1,90086,5,1,23.7,6.6,44,110086,0,,Not Churned
10087,Large,Healthcare,Germany,2025-09-10,50087,Starter,Monthly,138.54,14.9,2025-09-10,2025-10-10,70087,49,25,43,56.7,-17.6,30,49.2,1,90087,1,0,19.1,8.0,43,110087,1,2027-01-09,Contract Expired
10088,Medium,Professional Services,India,2024-01-06,50088,Starter,Monthly,102.82,19.9,2024-01-06,2024-02-05,70088,24,10,17,55.1,15.5,18,86.7,2,90088,0,0,48.8,9.0,59,110088,0,,Not Churned
10089,Large,Media,UK,2022-03-02,50089,Starter,Quarterly,119.64,0.0,2022-03-02,2022-05-31,70089,38,7,36,40.4,6.5,66,85.1,2,90089,5,0,37.2,7.8,39,110089,1,2022-07-14,Competitor
10090,Medium,Finance,USA,2022-10-22,50090,Starter,Monthly,142.34,13.1,2022-10-22,2022-11-21,70090,73,17,102,28.5,-53.1,40,91.6,3,90090,2,0,21.2,8.8,71,110090,1,2024-03-04,Low Product Usage
10091,Small,Finance,India,2025-02-26,50091,Enterprise,Monthly,2006.41,18.6,2025-02-26,2025-03-28,70091,17,6,12,68.4,-24.5,18,81.3,3,90091,2,0,48.3,7.5,67,110091,0,,Not Churned
10092,Large,Manufacturing,Canada,2022-07-01,50092,Professional,Monthly,377.58,12.5,2022-07-01,2022-07-31,70092,40,16,30,80.3,29.8,0,80.4,0,90092,4,0,2.0,7.2,40,110092,0,,Not Churned
10093,Large,Media,USA,2024-01-06,50093,Professional,Monthly,394.3,20.6,2024-01-06,2024-02-05,70093,37,11,42,48.2,-51.9,23,86.1,3,90093,4,0,44.1,5.2,12,110093,0,,Not Churned
10094,Medium,Education,USA,2025-02-05,50094,Business,Quarterly,1000.25,11.5,2025-02-05,2025-05-06,70094,17,8,12,58.5,18.9,34,78.5,3,90094,2,0,2.0,7.6,48,110094,0,,Not Churned
10095,Large,Finance,UK,2025-01-02,50095,Business,Monthly,981.86,21.8,2025-01-02,2025-02-01,70095,70,29,85,60.8,-47.0,0,100.0,5,90095,3,1,2.0,6.7,25,110095,1,2027-01-27,Low Product Usage
10096,Medium,Professional Services,USA,2025-10-02,50096,Professional,Annual,380.38,0.0,2025-10-02,2026-09-27,70096,34,8,41,59.0,-35.1,32,99.4,2,90096,2,0,2.0,6.1,6,110096,1,2026-02-27,Competitor
10097,Medium,Retail,USA,2025-11-07,50097,Professional,Monthly,384.62,16.3,2025-11-07,2025-12-07,70097,123,25,108,81.8,-5.2,8,91.1,2,90097,3,2,49.2,7.5,39,110097,0,,Not Churned
10098,Medium,Finance,UK,2024-09-05,50098,Professional,Quarterly,339.52,0.0,2024-09-05,2024-12-04,70098,17,10,18,36.7,9.6,13,100.0,2,90098,1,0,9.4,7.7,44,110098,0,,Not Churned
10099,Small,Retail,Canada,2024-10-26,50099,Starter,Annual,111.41,12.4,2024-10-26,2025-10-21,70099,54,14,71,99.7,45.1,18,76.5,2,90099,2,0,36.2,8.2,61,110099,0,,Not Churned
10100,Small,Technology,India,2024-05-24,50100,Business,Monthly,1007.69,1.9,2024-05-24,2024-06-23,70100,19,5,16,50.9,-13.2,19,83.6,4,90100,5,1,14.2,5.5,5,110100,1,2027-01-26,Contract Expired
10101,Small,Media,USA,2021-02-18,50101,Business,Quarterly,1012.73,15.7,2021-02-18,2021-05-19,70101,6,2,7,74.1,0.9,14,88.1,4,90101,4,1,43.8,7.2,23,110101,0,,Not Churned
10102,Medium,Education,India,2025-12-26,50102,Professional,Quarterly,349.51,7.2,2025-12-26,2026-03-26,70102,139,30,146,57.1,7.6,37,92.0,2,90102,1,0,26.5,8.8,75,110102,0,,Not Churned
10103,Small,Retail,India,2025-10-13,50103,Professional,Monthly,347.83,10.7,2025-10-13,2025-11-12,70103,59,17,60,62.0,-14.2,19,69.1,1,90103,3,1,34.0,7.8,51,110103,0,,Not Churned
10104,Medium,Finance,UK,2022-05-11,50104,Professional,Quarterly,352.84,5.6,2022-05-11,2022-08-09,70104,29,14,28,43.6,6.4,0,69.1,1,90104,3,0,2.0,8.1,44,110104,0,,Not Churned
10105,Enterprise,Education,Germany,2022-09-26,50105,Professional,Monthly,354.02,22.7,2022-09-26,2022-10-26,70105,189,47,215,67.2,-8.8,29,70.2,1,90105,2,0,3.1,8.8,79,110105,0,,Not Churned
10106,Small,Professional Services,Germany,2022-08-25,50106,Starter,Annual,137.37,8.6,2022-08-25,2023-08-20,70106,35,9,32,73.7,20.0,34,57.7,3,90106,3,1,3.5,6.0,49,110106,0,,Not Churned
10107,Medium,Education,India,2021-06-25,50107,Starter,Monthly,120.09,4.0,2021-06-25,2021-07-25,70107,66,12,80,63.6,20.2,46,96.0,1,90107,0,0,26.4,8.7,67,110107,1,2024-05-03,Business Closure
10108,Large,Retail,USA,2022-10-01,50108,Business,Annual,985.0,0.0,2022-10-01,2023-09-26,70108,69,29,55,30.2,2.9,11,87.5,5,90108,0,0,20.5,6.7,17,110108,0,,Not Churned
10109,Small,Media,UK,2021-10-24,50109,Professional,Annual,382.66,3.7,2021-10-24,2022-10-19,70109,39,10,54,47.7,-10.6,15,78.9,2,90109,5,2,5.8,5.3,12,110109,0,,Not Churned
10110,Small,Retail,India,2024-07-07,50110,Starter,Annual,142.55,2.8,2024-07-07,2025-07-02,70110,45,12,59,28.3,-19.1,18,76.2,2,90110,3,1,33.3,7.4,48,110110,0,,Not Churned
10111,Small,Healthcare,Australia,2026-02-18,50111,Professional,Monthly,380.13,10.0,2026-02-18,2026-03-20,70111,28,10,29,46.1,26.8,17,100.0,4,90111,3,2,37.2,5.4,-3,110111,0,,Not Churned
10112,Small,Healthcare,Australia,2022-04-20,50112,Professional,Monthly,347.99,8.1,2022-04-20,2022-05-20,70112,87,19,73,38.2,18.8,28,69.3,2,90112,0,0,34.4,7.4,39,110112,0,,Not Churned
10113,Enterprise,Education,Singapore,2025-07-05,50113,Business,Annual,995.6,0.0,2025-07-05,2026-06-30,70113,27,9,27,85.4,7.0,37,52.0,3,90113,1,0,28.1,8.3,37,110113,0,,Not Churned
10114,Large,Manufacturing,India,2026-05-13,50114,Business,Quarterly,790.86,7.2,2026-05-13,2026-08-11,70114,62,15,77,76.5,4.2,0,97.1,3,90114,2,1,14.7,4.9,7,110114,0,,Not Churned
10115,Medium,Media,India,2023-11-27,50115,Professional,Monthly,415.71,0.0,2023-11-27,2023-12-27,70115,46,15,46,100.0,21.5,7,78.1,2,90115,3,1,16.2,5.6,13,110115,0,,Not Churned
10116,Large,Manufacturing,Germany,2025-11-24,50116,Enterprise,Monthly,1903.44,15.9,2025-11-24,2025-12-24,70116,107,23,82,81.3,-16.7,37,89.9,4,90116,4,1,30.5,6.1,1,110116,0,,Not Churned
10117,Large,Healthcare,Canada,2021-01-25,50117,Business,Monthly,913.18,8.6,2021-01-25,2021-02-24,70117,82,15,65,25.0,58.1,27,100.0,5,90117,1,0,26.9,9.4,84,110117,0,,Not Churned
10118,Small,Finance,Germany,2021-12-15,50118,Business,Quarterly,727.93,0.7,2021-12-15,2022-03-15,70118,55,13,69,56.2,34.7,8,49.4,2,90118,1,0,39.5,7.2,21,110118,0,,Not Churned
10119,Large,Technology,India,2022-09-29,50119,Professional,Monthly,322.49,8.3,2022-09-29,2022-10-29,70119,69,15,96,26.8,8.4,37,68.7,5,90119,1,1,48.2,7.7,68,110119,1,2026-04-11,Contract Expired
10120,Medium,Education,UK,2021-08-15,50120,Professional,Monthly,354.34,16.9,2021-08-15,2021-09-14,70120,16,9,22,78.5,14.1,29,76.0,5,90120,2,2,7.1,5.9,20,110120,0,,Not Churned
10121,Large,Technology,UK,2024-10-03,50121,Professional,Monthly,316.89,8.2,2024-10-03,2024-11-02,70121,56,11,73,80.7,4.0,20,91.8,3,90121,2,0,20.3,8.3,54,110121,0,,Not Churned
10122,Large,Healthcare,India,2021-02-07,50122,Professional,Annual,418.63,10.5,2021-02-07,2022-02-02,70122,150,31,196,59.2,-21.9,0,100.0,0,90122,4,0,31.8,7.5,38,110122,0,,Not Churned
