support_id,customer_id,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score
90115,10115,3,1,16.2,5.6,13
90116,10116,4,1,30.5,6.1,1
90117,10117,1,0,26.9,9.4,84
90118,10118,1,0,39.5,7.2,21
90119,10119,1,1,48.2,7.7,68
90120,10120,2,2,7.1,5.9,20
90121,10121,2,0,20.3,8.3,54
90122,10122,4,0,31.8,7.5,38
90123,10123,5,2,45.7,4.9,-9
90124,10124,2,0,37.3,8.1,53
90125,10125,4,1,13.6,6.9,32
90126,10126,1,0,30.9,5.5,-5
90127,10127,4,2,18.9,5.5,15
90128,10128,3,1,31.2,6.2,22
90129,10129,1,0,9.5,9.7,97
90130,10130,0,0,16.6,8.7,63
90131,10131,4,1,27.2,6.6,17
90132,10132,1,1,23.6,8.5,84
90133,10133,3,1,53.4,7.5,41
90134,10134,1,0,34.8,8.3,59
90135,10135,1,1,23.1,5.6,9
90136,10136,5,0,18.8,4.2,-17
90137,10137,4,1,7.2,4.8,13
90138,10138,2,1,2.0,8.9,72
90139,10139,3,0,40.9,8.0,53
90140,10140,0,0,29.9,9.7,97
90141,10141,1,0,7.3,8.6,71
90142,10142,3,2,11.0,6.2,3
90143,10143,2,1,7.3,6.8,41
90144,10144,1,0,15.7,8.6,73
90145,10145,3,1,31.3,7.0,54
90146,10146,2,0,28.9,9.4,86
90147,10147,1,0,39.4,8.6,58
90148,10148,2,0,2.3,6.6,10
90149,10149,1,1,31.3,8.5,66
90150,10150,2,0,19.0,9.0,82
90151,10151,1,1,25.3,7.4,44
90152,10152,3,1,21.3,6.0,37
90153,10153,6,2,19.2,4.5,-19
90154,10154,2,1,22.7,7.6,51
90155,10155,1,0,44.9,7.8,26
90156,10156,2,0,17.6,7.4,14
90157,10157,1,0,17.7,8.9,79
90158,10158,2,1,56.6,7.1,63
90159,10159,4,0,9.6,7.4,14
90160,10160,0,0,36.4,7.3,47
90161,10161,5,3,30.8,5.0,-5
90162,10162,0,0,46.4,8.6,54
90163,10163,2,1,11.8,6.0,24
90164,10164,3,1,23.2,7.1,51
90165,10165,5,1,16.5,6.1,22
90166,10166,6,2,31.0,5.0,4
90167,10167,3,1,31.1,6.3,-4
90168,10168,1,0,39.9,8.1,63
90169,10169,1,1,29.0,6.7,49
90170,10170,4,1,27.4,6.7,39
90171,10171,3,0,55.3,7.3,57
90172,10172,2,0,42.1,6.4,37
90173,10173,2,1,29.9,7.0,27
90174,10174,2,0,4.5,7.7,45
90175,10175,4,1,54.7,8.1,65
90176,10176,3,1,27.6,7.3,52
90177,10177,0,0,46.5,9.3,80
90178,10178,3,1,54.0,7.1,29
90179,10179,2,0,56.1,8.8,78
90180,10180,1,0,39.1,4.8,-11
90181,10181,1,1,2.0,8.1,70
90182,10182,5,0,18.9,6.8,34
90183,10183,3,1,18.0,7.6,53
90184,10184,1,0,53.4,6.6,32
90185,10185,3,1,34.1,6.4,8
90186,10186,1,0,7.4,7.9,48
90187,10187,1,0,22.6,6.4,9
90188,10188,3,1,57.2,6.0,35
90189,10189,4,3,18.3,5.7,-7
90190,10190,0,0,24.9,7.0,26
90191,10191,1,0,14.2,8.3,42
90192,10192,3,0,45.2,7.8,53
90193,10193,3,1,38.0,7.1,19
90194,10194,5,2,39.0,4.6,-7
90195,10195,6,1,2.0,6.2,40
90196,10196,6,3,20.5,7.6,37
90197,10197,2,0,24.3,10.0,95
90198,10198,0,0,29.9,9.2,84
90199,10199,1,0,12.2,8.6,93
90200,10200,1,1,25.1,4.9,-2
90201,10201,2,0,20.8,7.2,43
90202,10202,3,0,16.1,9.1,89
90203,10203,1,0,2.0,8.7,44
90204,10204,1,0,26.8,6.1,34
90205,10205,4,2,13.9,5.6,-7
90206,10206,6,2,26.4,5.8,17
90207,10207,1,0,36.1,8.3,47
90208,10208,2,1,2.0,6.7,35
90209,10209,0,0,29.9,9.3,77
90210,10210,4,0,19.5,6.9,12
90211,10211,1,0,20.2,8.1,49
90212,10212,0,0,21.1,9.2,79
90213,10213,1,1,41.6,7.2,20
90214,10214,2,0,29.8,8.1,62
90215,10215,1,0,56.3,8.7,51
90216,10216,4,0,32.5,6.7,37
90217,10217,2,0,2.0,8.2,61
90218,10218,1,0,41.6,8.1,67
90219,10219,0,0,11.0,10.0,100
90220,10220,1,0,15.1,7.3,24
90221,10221,0,0,25.1,7.9,48
90222,10222,2,0,41.6,8.3,57
90223,10223,4,2,29.2,4.1,-23
90224,10224,1,0,49.3,9.2,65
90225,10225,0,0,18.9,8.9,77
90226,10226,3,1,10.5,4.6,-23
90227,10227,1,0,29.5,7.4,33
90228,10228,4,1,22.2,6.2,22
90229,10229,3,0,30.3,6.2,14
90230,10230,1,0,49.5,7.6,39
90231,10231,0,0,14.2,9.9,100
90232,10232,2,0,12.4,8.7,58
90233,10233,4,0,47.7,6.4,31
90234,10234,4,0,46.0,7.9,60
90235,10235,2,0,9.2,7.7,45
90236,10236,3,1,2.0,6.5,37
90237,10237,3,2,13.8,6.3,25
90238,10238,4,1,2.0,7.5,42
90239,10239,1,0,5.4,8.3,55
90240,10240,2,0,32.9,5.6,5
90241,10241,1,1,25.0,8.0,50
90242,10242,2,0,17.8,7.9,50
90243,10243,5,2,38.0,5.2,4
90244,10244,6,3,15.7,3.9,-14
90245,10245,3,0,41.8,6.5,36
90246,10246,1,0,2.0,6.4,10
90247,10247,1,1,2.5,8.9,100
90248,10248,0,0,57.8,6.6,21
90249,10249,3,0,15.4,6.8,31
90250,10250,4,0,2.0,6.6,36
90251,10251,3,0,62.0,6.5,29
90252,10252,0,0,48.4,9.6,86
90253,10253,3,0,42.5,7.7,40
90254,10254,3,0,53.0,7.0,22
90255,10255,3,1,2.0,7.0,37
90256,10256,2,1,32.6,5.5,-8
90257,10257,2,0,35.8,8.2,53
90258,10258,2,0,20.3,7.0,39
90259,10259,5,0,10.9,4.2,-10
90260,10260,2,1,47.0,7.1,35
90261,10261,1,0,34.9,7.2,16
90262,10262,3,1,52.5,5.1,-9
90263,10263,2,0,41.7,6.5,44
90264,10264,4,3,60.0,4.3,-17
90265,10265,1,0,22.7,6.5,22
90266,10266,4,2,19.7,6.3,32
90267,10267,2,0,24.9,6.4,38
90268,10268,2,1,47.2,7.1,37
90269,10269,6,4,18.4,4.7,-7
90270,10270,1,0,37.5,8.2,70
90271,10271,4,0,58.2,6.9,46
90272,10272,4,1,47.3,6.6,19
90273,10273,3,3,22.8,6.9,38
90274,10274,3,3,10.9,7.4,56
90275,10275,2,0,31.9,7.0,51
90276,10276,4,1,17.8,6.5,46
90277,10277,2,0,2.0,7.7,71
90278,10278,2,1,23.7,6.4,24
90279,10279,3,0,17.7,6.6,45
90280,10280,2,0,12.8,7.2,59
90281,10281,3,1,25.5,6.4,24
90282,10282,2,0,8.7,7.3,27
90283,10283,3,1,25.7,7.8,43
90284,10284,0,0,37.1,9.1,75
90285,10285,6,0,20.4,7.0,34
90286,10286,2,2,24.3,6.7,21
90287,10287,1,0,29.8,7.7,51
90288,10288,2,0,27.1,6.3,29
90289,10289,3,0,14.9,7.6,51
90290,10290,0,0,30.8,7.3,53
90291,10291,1,0,26.7,8.7,69
90292,10292,3,1,27.6,7.2,35
90293,10293,4,0,20.7,6.7,21
90294,10294,3,2,32.1,5.3,-3
90295,10295,2,0,21.8,7.6,35
90296,10296,2,1,42.8,8.6,100
90297,10297,1,0,39.3,7.5,30
90298,10298,3,0,29.4,5.3,-8
90299,10299,4,2,6.4,4.5,-16
90300,10300,2,1,20.3,7.2,24
90301,10301,3,2,13.2,5.9,27
90302,10302,1,0,50.7,7.5,27
90303,10303,3,0,6.8,7.5,48
90304,10304,2,0,42.8,7.6,39
90305,10305,4,2,24.0,6.5,18
90306,10306,1,0,49.6,8.3,43
90307,10307,1,0,53.7,6.1,17
90308,10308,3,1,50.9,5.9,13
90309,10309,4,1,18.1,7.1,17
90310,10310,4,2,33.2,5.5,25
90311,10311,4,0,23.0,5.8,22
90312,10312,1,1,13.2,7.3,41
90313,10313,2,0,6.5,8.4,48
90314,10314,2,1,51.8,8.2,62
90315,10315,3,0,2.0,7.8,69
90316,10316,5,1,22.2,6.0,26
90317,10317,1,1,9.8,6.8,18
90318,10318,2,0,25.1,7.4,47
90319,10319,2,1,10.8,7.7,68
90320,10320,1,0,6.5,7.2,30
90321,10321,2,1,54.1,8.1,75
90322,10322,1,0,26.8,6.9,33
90323,10323,2,1,15.8,8.2,73
90324,10324,2,0,22.5,7.7,33
90325,10325,0,0,43.5,9.3,76
90326,10326,3,1,45.5,5.3,0
90327,10327,3,1,28.8,9.1,75
90328,10328,2,0,2.0,7.8,66
90329,10329,4,0,46.7,8.6,67
90330,10330,0,0,33.7,6.3,15
90331,10331,1,0,33.0,8.1,52
90332,10332,0,0,49.7,7.6,55
90333,10333,3,0,16.7,7.7,62
90334,10334,1,0,16.6,8.6,70
90335,10335,6,1,38.7,5.2,-12
90336,10336,3,2,25.1,4.0,-13
90337,10337,4,2,26.1,6.4,51
90338,10338,4,1,22.1,6.3,12
90339,10339,5,0,2.0,8.4,63
90340,10340,1,0,24.8,8.4,69
90341,10341,3,0,40.8,5.8,18
90342,10342,3,1,2.0,6.2,36
90343,10343,1,0,25.8,6.0,49
90344,10344,3,1,42.0,7.1,30
90345,10345,5,1,11.2,7.1,42
90346,10346,3,1,28.0,7.3,38
90347,10347,5,0,10.7,5.2,38
90348,10348,6,0,35.8,5.4,7
90349,10349,3,0,30.3,6.0,11
90350,10350,1,0,31.5,7.0,43
90351,10351,3,1,29.0,7.0,56
90352,10352,3,0,33.2,7.8,57
90353,10353,4,1,31.3,7.6,43
90354,10354,2,1,20.7,5.5,-2
90355,10355,1,0,8.9,10.0,70
90356,10356,4,1,22.5,7.8,52
90357,10357,3,1,50.5,6.3,22
90358,10358,1,0,24.9,8.3,44
90359,10359,1,0,30.7,6.8,14
90360,10360,6,2,4.6,3.4,-23
90361,10361,1,1,49.5,6.1,5
90362,10362,1,0,41.2,7.1,50
90363,10363,1,0,43.4,8.5,73
90364,10364,3,0,49.1,7.5,38
90365,10365,2,1,2.0,6.4,20
90366,10366,2,1,37.6,7.7,39
90367,10367,2,0,7.8,9.0,80
90368,10368,3,1,9.7,7.6,60
90369,10369,1,0,32.3,6.6,28
90370,10370,5,2,28.4,5.5,23
90371,10371,4,1,12.3,5.9,41
90372,10372,1,1,33.9,5.9,16
90373,10373,3,1,24.5,5.8,11
90374,10374,2,0,24.0,7.3,32
90375,10375,3,1,32.8,6.3,25
90376,10376,2,1,15.9,6.3,16
90377,10377,2,0,30.0,7.8,70
90378,10378,1,0,17.2,6.6,22
90379,10379,3,0,3.5,8.7,54
90380,10380,4,2,5.9,6.4,28
90381,10381,2,0,21.4,7.4,37
90382,10382,4,0,33.9,5.7,11
90383,10383,3,1,42.0,5.0,10
90384,10384,4,3,6.5,3.8,-32
90385,10385,4,1,29.4,7.1,39
90386,10386,1,0,29.3,8.0,46
90387,10387,4,1,29.4,7.3,43
90388,10388,0,0,40.2,7.8,38
90389,10389,0,0,28.2,7.5,38
90390,10390,0,0,38.7,9.3,92
90391,10391,0,0,41.4,7.7,61
90392,10392,9,0,23.8,3.5,-30
90393,10393,0,0,40.3,8.6,83
90394,10394,2,1,30.2,6.8,42
90395,10395,2,1,32.7,7.8,54
90396,10396,2,0,29.8,6.9,43
90397,10397,2,0,2.0,7.5,58
90398,10398,3,0,45.0,5.9,16
90399,10399,2,1,25.3,6.8,18
90400,10400,3,0,49.6,8.0,89
90401,10401,3,1,33.2,5.6,16
90402,10402,5,1,36.9,5.7,17
90403,10403,2,0,10.5,8.1,43
90404,10404,0,0,7.2,9.0,92
90405,10405,0,0,7.7,7.7,65
90406,10406,0,0,28.3,10.0,86
90407,10407,0,0,43.6,9.4,63
90408,10408,6,0,59.6,5.1,-9
90409,10409,1,0,28.6,7.9,39
90410,10410,2,1,33.8,5.9,28
90411,10411,5,1,25.2,5.8,21
90412,10412,1,0,32.1,8.6,55
90413,10413,5,1,29.6,6.7,6
90414,10414,3,0,46.2,7.2,47
90415,10415,7,1,26.8,5.1,7
90416,10416,3,1,30.4,5.9,15
90417,10417,3,1,34.7,5.7,21
90418,10418,1,0,17.8,7.0,38
90419,10419,0,0,30.6,6.8,30
90420,10420,2,0,37.6,6.3,27
90421,10421,0,0,2.0,8.4,46
90422,10422,2,0,32.8,5.7,16
90423,10423,3,0,27.9,5.8,23
90424,10424,2,0,2.0,9.1,54
90425,10425,1,1,5.8,8.4,58
90426,10426,5,1,12.7,6.3,-2
90427,10427,2,0,14.0,6.9,32
90428,10428,4,1,25.1,5.6,-6
90429,10429,1,1,30.3,6.9,9
90430,10430,4,3,20.2,4.5,-12
90431,10431,2,1,8.4,7.5,40
90432,10432,3,1,26.2,7.2,46
90433,10433,2,1,21.7,7.7,48
90434,10434,4,0,56.7,6.2,27
90435,10435,3,1,15.7,6.2,30
90436,10436,3,0,28.6,6.6,36
90437,10437,4,0,2.0,6.9,38
90438,10438,2,0,51.8,8.0,66
90439,10439,0,0,64.1,7.5,68
90440,10440,2,0,2.0,6.8,24
90441,10441,4,1,67.8,7.3,55
90442,10442,3,0,20.0,7.8,35
90443,10443,2,0,2.0,6.7,13
90444,10444,2,1,14.8,6.5,15
90445,10445,1,0,9.2,7.7,43
90446,10446,1,1,13.9,8.7,49
90447,10447,1,0,2.0,7.7,62
90448,10448,2,0,8.0,6.3,28
90449,10449,4,1,21.3,5.9,27
90450,10450,1,1,26.3,7.2,38
90451,10451,1,0,37.8,10.0,85
90452,10452,6,1,47.6,5.1,7
90453,10453,5,0,20.6,6.5,14
90454,10454,1,1,12.4,7.9,42
90455,10455,4,0,35.9,7.1,43
90456,10456,1,0,16.2,9.0,75
90457,10457,4,1,47.9,7.0,34
90458,10458,1,0,33.8,8.1,61
90459,10459,3,1,8.1,7.3,39
90460,10460,1,0,22.5,7.0,22
90461,10461,4,0,2.0,5.0,9
90462,10462,5,1,32.5,6.1,26
90463,10463,4,1,28.8,6.6,33
90464,10464,4,0,2.0,5.0,13
90465,10465,3,1,2.0,6.8,43
90466,10466,3,1,13.7,7.5,53
90467,10467,1,0,2.0,8.1,60
90468,10468,0,0,20.3,8.9,67
90469,10469,2,0,58.0,7.0,16
90470,10470,3,0,32.7,8.2,61
90471,10471,5,3,23.7,4.3,-17
90472,10472,6,3,32.1,4.8,-27
90473,10473,6,0,31.7,8.1,70
90474,10474,1,1,40.7,6.5,24
90475,10475,3,1,13.4,8.5,73
90476,10476,1,0,58.0,10.0,100
90477,10477,4,1,38.5,4.8,5
90478,10478,2,1,16.3,7.8,61
90479,10479,4,2,18.2,6.0,11
90480,10480,2,0,7.2,7.1,31
90481,10481,3,0,46.1,5.8,38
90482,10482,1,1,2.0,7.8,65
90483,10483,1,0,14.7,7.1,49
90484,10484,1,1,48.6,7.4,32
90485,10485,3,0,25.6,8.0,39
90486,10486,4,0,39.9,7.1,52
90487,10487,4,1,20.5,6.5,5
90488,10488,1,0,36.7,6.4,38
90489,10489,4,0,15.8,7.4,57
90490,10490,2,0,2.0,6.4,30
90491,10491,3,0,51.5,6.6,37
90492,10492,3,1,17.1,7.5,63
90493,10493,6,3,51.3,4.7,-11
90494,10494,1,0,34.1,9.6,100
90495,10495,1,0,45.5,7.5,32
90496,10496,2,0,5.5,8.0,48
90497,10497,7,3,16.4,5.2,2
90498,10498,5,1,32.0,4.7,-7
90499,10499,3,1,3.0,7.4,35
90500,10500,4,1,10.3,5.9,-14
90501,10501,5,1,25.3,6.1,12
90502,10502,1,1,16.8,6.9,10
90503,10503,2,1,52.3,8.3,51
90504,10504,1,0,33.7,8.0,46
90505,10505,2,1,18.7,7.5,45
90506,10506,5,1,24.4,7.5,45
90507,10507,3,0,22.3,6.5,26
90508,10508,2,0,47.5,7.5,79
90509,10509,0,0,27.0,9.0,91
90510,10510,2,0,27.8,8.3,66
90511,10511,1,0,15.6,8.2,42
90512,10512,3,2,2.0,5.4,0
90513,10513,1,1,30.0,7.3,47
90514,10514,5,2,2.0,5.0,21
90515,10515,3,0,13.4,8.6,80
90516,10516,4,2,17.0,5.4,-9
90517,10517,2,1,46.7,6.7,16
90518,10518,1,0,4.9,6.9,31
90519,10519,3,0,23.0,4.6,-5
90520,10520,2,1,12.0,4.9,-4
90521,10521,4,0,52.1,9.3,97
90522,10522,3,0,31.7,7.8,34
90523,10523,5,1,37.5,6.7,14
90524,10524,1,0,24.6,6.7,22
90525,10525,5,2,16.9,7.3,55
90526,10526,2,0,48.4,9.2,78
90527,10527,1,0,18.3,6.7,27
90528,10528,0,0,2.9,10.0,93
90529,10529,2,1,28.5,6.4,27
90530,10530,0,0,2.0,8.5,62
90531,10531,2,0,31.5,7.2,63
90532,10532,5,0,25.5,7.1,38
90533,10533,3,0,34.5,5.9,36
90534,10534,3,0,36.9,7.9,51
90535,10535,1,0,22.8,6.8,30
90536,10536,4,2,28.2,4.6,1
90537,10537,6,2,7.1,3.6,-31
90538,10538,3,0,46.1,6.1,32
90539,10539,2,0,29.9,6.8,32
90540,10540,2,1,26.3,7.8,33
90541,10541,6,2,7.0,5.6,16
90542,10542,1,0,4.6,7.4,51
90543,10543,0,0,21.6,7.0,39
90544,10544,3,0,5.5,7.6,56
90545,10545,3,1,39.6,6.3,24
90546,10546,3,0,38.9,6.8,23
90547,10547,3,1,22.7,6.6,24
90548,10548,2,0,8.4,6.2,21
90549,10549,4,0,4.3,7.9,58
90550,10550,3,1,28.6,5.0,-9
90551,10551,1,0,56.9,5.4,-19
90552,10552,3,1,20.6,6.8,38
90553,10553,3,0,21.0,7.6,40
90554,10554,2,0,24.2,8.5,48
90555,10555,3,1,31.1,7.0,26
90556,10556,3,0,9.3,5.8,37
90557,10557,4,0,26.2,6.4,23
90558,10558,1,0,2.0,8.9,76
90559,10559,0,0,19.8,6.8,39
90560,10560,2,1,36.5,6.4,12
90561,10561,4,1,12.8,6.5,31
90562,10562,3,1,9.6,7.4,58
90563,10563,8,2,11.3,5.1,-23
90564,10564,0,0,7.8,6.9,41
90565,10565,4,0,9.8,5.9,28
90566,10566,1,0,25.1,8.3,82
90567,10567,6,2,12.7,7.2,25
90568,10568,4,3,20.0,3.4,-38
90569,10569,3,0,26.2,7.7,60
90570,10570,2,1,28.0,6.3,3
90571,10571,4,1,32.2,5.0,15
90572,10572,1,1,30.3,5.5,15
90573,10573,2,0,20.9,7.5,47
90574,10574,2,1,48.1,9.4,85
90575,10575,2,0,26.8,6.1,20
90576,10576,2,2,41.2,6.4,38
90577,10577,5,4,48.0,4.1,-46
90578,10578,2,2,24.1,6.1,22
90579,10579,3,2,9.9,5.7,12
90580,10580,3,2,2.0,5.5,-9
90581,10581,2,1,7.9,4.8,6
90582,10582,1,0,19.6,7.7,66
90583,10583,0,0,36.3,9.7,92
90584,10584,1,1,36.0,9.9,80
90585,10585,4,2,25.0,6.0,18
90586,10586,0,0,17.2,7.0,44
90587,10587,0,0,17.0,7.4,35
90588,10588,2,0,18.7,7.9,35
90589,10589,3,0,45.6,6.9,24
90590,10590,1,0,18.9,9.0,65
90591,10591,5,0,14.4,6.3,15
90592,10592,2,2,28.9,8.1,65
90593,10593,1,1,17.9,5.9,12
90594,10594,0,0,23.4,8.1,72
90595,10595,1,1,20.5,7.8,24
90596,10596,4,1,23.6,6.3,31
90597,10597,3,0,5.4,4.8,-5
90598,10598,2,0,43.6,7.6,50
90599,10599,4,1,52.1,6.3,21
90600,10600,2,0,2.0,9.5,87
90601,10601,4,0,27.0,7.9,68
90602,10602,1,0,48.7,8.4,58
90603,10603,3,0,10.0,6.5,-3
90604,10604,1,1,26.7,8.2,54
90605,10605,3,0,12.1,7.3,55
90606,10606,2,1,25.1,5.8,4
90607,10607,1,1,22.1,7.1,33
90608,10608,0,0,28.5,9.0,73
90609,10609,2,0,19.0,9.6,80
90610,10610,3,1,54.5,8.0,40
90611,10611,5,1,29.7,5.7,30
90612,10612,1,1,9.0,7.2,14
90613,10613,2,0,11.1,7.6,61
90614,10614,4,1,21.9,6.7,19
90615,10615,4,1,2.0,5.9,36
90616,10616,2,0,37.7,9.1,78
90617,10617,2,2,44.6,7.0,53
90618,10618,2,1,23.3,7.1,61
90619,10619,4,0,46.5,7.5,39
90620,10620,0,0,5.8,6.5,5
90621,10621,3,1,2.0,7.3,30
90622,10622,5,2,10.5,6.9,29
90623,10623,1,0,19.2,6.9,42
90624,10624,1,1,4.9,7.0,35
90625,10625,1,1,29.1,7.9,37
90626,10626,3,0,14.6,8.0,49
90627,10627,0,0,19.3,8.0,65
90628,10628,5,1,23.3,6.1,27
90629,10629,0,0,21.2,8.7,67
90630,10630,4,1,30.5,4.7,4
90631,10631,1,0,46.2,6.4,15
90632,10632,2,0,4.5,7.6,64
90633,10633,4,1,15.8,6.7,44
90634,10634,1,0,20.6,7.7,48
90635,10635,2,0,63.7,6.8,41
90636,10636,3,2,38.9,7.8,59
90637,10637,1,1,33.7,9.0,69
90638,10638,1,0,17.9,7.0,34
90639,10639,3,0,2.0,5.6,4
90640,10640,2,1,6.1,7.0,27
90641,10641,3,2,46.9,6.4,33
90642,10642,7,4,31.9,2.8,-26
90643,10643,3,0,33.2,7.6,48
90644,10644,3,0,24.9,6.4,34
90645,10645,5,1,25.0,6.3,28
90646,10646,2,0,38.4,6.5,16
90647,10647,2,1,2.2,7.5,46
90648,10648,2,2,32.3,5.0,-1
90649,10649,2,1,27.0,5.6,15
90650,10650,3,0,4.1,8.1,52
90651,10651,3,1,19.8,6.9,40
90652,10652,7,2,39.7,5.2,-1
90653,10653,2,0,7.5,7.4,28
90654,10654,2,2,40.7,7.9,36
90655,10655,1,0,10.1,9.0,81
90656,10656,0,0,49.2,7.4,39
90657,10657,1,0,22.3,6.5,13
90658,10658,5,2,2.0,4.6,-12
90659,10659,3,0,39.2,7.4,39
90660,10660,1,0,20.4,8.6,68
90661,10661,0,0,18.6,9.5,95
90662,10662,3,2,20.6,6.4,23
90663,10663,2,1,29.9,5.7,24
90664,10664,2,2,25.8,8.2,56
90665,10665,2,0,14.3,9.9,91
90666,10666,1,1,34.3,6.2,6
90667,10667,2,0,28.4,6.2,23
90668,10668,2,0,32.5,7.4,70
90669,10669,2,0,34.0,5.6,11
90670,10670,6,2,37.9,6.4,22
90671,10671,5,1,16.3,4.9,-6
90672,10672,3,2,33.4,8.5,49
90673,10673,3,1,31.5,5.4,17
90674,10674,1,0,27.4,7.6,38
90675,10675,2,1,27.0,6.7,21
90676,10676,0,0,29.8,7.2,24
90677,10677,2,0,32.4,9.1,100
90678,10678,2,0,18.7,8.4,82
90679,10679,2,0,26.1,8.5,55
90680,10680,3,0,10.3,5.9,43
90681,10681,1,0,55.6,7.6,35
90682,10682,2,2,4.2,6.0,10
90683,10683,1,0,2.3,8.5,65
90684,10684,6,1,4.2,4.6,-14
90685,10685,6,2,24.3,3.8,-16
90686,10686,2,0,41.2,8.2,56
90687,10687,2,0,45.7,8.5,48
90688,10688,3,1,2.0,6.9,41
90689,10689,2,0,15.1,7.3,33
90690,10690,0,0,30.2,8.1,41
90691,10691,1,0,37.6,9.6,63
90692,10692,2,0,13.6,6.1,31
